High School Name, Code, State ,
CENTRAL PARK CHRISTIAN SCHOOL,10344,AL,
CHAMBERS ACADEMY,11571,AL,
CHAPMAN CHRISTIAN ACADEMY,11761,AL,
CHARLES HENDERSON HIGH SCHOOL,12670,AL,
CHELSEA HIGH SCHOOL,10648,AL,
CHEROKEE COUNTY HIGH SCHOOL,10620,AL,
CHEROKEE HIGH SCHOOL,10655,AL,
CHICKASAW HIGH SCHOOL,10657,AL,
CHILDERSBURG HIGH SCHOOL,10660,AL,
CHILTON CHRISTIAN ACADEMY,11548,AL,
CHILTON COUNTY HIGH SCHOOL,10675,AL,
CHOCTAW COUNTY HIGH SCHOOL,10550,AL,
CHRIST ACADEMY,10933,AL,
CHRISTIAN FELLOWSHIP SCHOOL,10226,AL,
CHRISTIAN LIFE CENTER CHURCH ACADEMY,10629,AL,
CHRISTIAN SPIRIT SCHOOL,11941,AL,
CHURCHILL ACADEMY,11878,AL,
CITRONELLE HIGH SCHOOL,10670,AL,
CLARKE COUNTY HIGH SCHOOL,11315,AL,
CLARKE PREP SCHOOL,11318,AL,
CLAY-CHALKVILLE HIGH SCHOOL,10689,AL,
CLEBURNE COUNTY HIGH SCHOOL,11430,AL,
CLEMENTS HIGH SCHOOL,10180,AL,
CLEVELAND HIGH SCHOOL,10695,AL,
COLBERT COUNTY HIGH SCHOOL,11615,AL,
COLBERT HEIGHTS HIGH SCHOOL,12693,AL,
COLD SPRINGS HIGH SCHOOL,10490,AL,
COLLINSVILLE HIGH SCHOOL,10730,AL,
COLUMBIA HIGH SCHOOL,11501,AL,
COLUMBUS GIRLS ACADEMY,12401,AL,
COMMUNITY CHRISTIAN ACADEMY,12227,AL,
COMMUNITY CHRISTIAN ACADEMY,10867,AL,
CONCORDIA COLLEGE,1989,AL,
CONECUH SPRINGS CHRISTIAN SCHOOL,12722,AL,
COOSA CHRISTIAN SCHOOL,11186,AL,
COOSA VALLEY ACADEMY,11377,AL,
CORDOVA HIGH SCHOOL,10760,AL,
CORNER HIGH SCHOOL,12795,AL,
CORNERSTONE CHRISTIAN ACADEMY,10117,AL,
CORNERSTONE CHRISTIAN ACADEMY,12254,AL,
CORNERSTONE CHRISTIAN SCHOOL,10858,AL,
CORNERSTONE CHRISTIAN SCHOOL INCORPORATED,10751,AL,
CORNERSTONE CLASSICAL CHRISTIAN ACADEMY,11906,AL,
COTTAGE HILL CHRISTIAN ACADEMY,11807,AL,
COTTONWOOD HIGH SCHOOL,10770,AL,
COVENANT CHRISTIAN ACADEMY,11478,AL,
COVENANT CHRISTIAN SCHOOL,12696,AL,
COVENANT PRESBYTRIAN CHRISTIAN SCHOOL,10221,AL,
CRENSHAW CHRISTIAN ACADEMY,11684,AL,
CROSSROADS CHRISTIAN SCHOOL,11846,AL,
CROSSVILLE HIGH SCHOOL,10785,AL,
CULLMAN CHRISTIAN SCHOOL,10796,AL,
CULLMAN HIGH SCHOOL,10795,AL,
CURRY HIGH SCHOOL,11535,AL,
DADEVILLE HIGH SCHOOL,10820,AL,
DALE COUNTY CHRISTIAN SCHOOL,12094,AL,
DALE COUNTY HIGH SCHOOL,11750,AL,
DALEVILLE HIGH SCHOOL,10828,AL,
DALLAS COUNTY HIGH SCHOOL,12200,AL,
DANVILLE HIGH SCHOOL,10830,AL,
DAPHNE HIGH SCHOOL,10844,AL,
DECATUR HERITAGE CHRISTIAN ACADEMY,10861,AL,
DECATUR HIGH SCHOOL,10860,AL,
DEEPER LIFE ACADEMY,11454,AL,
DEMOPOLIS HIGH SCHOOL,10875,AL,
DESHLER HIGH SCHOOL,12695,AL,
DONOHO SCHOOL,10109,AL,
DORA HIGH SCHOOL,10900,AL,
DOTHAN CHRISTIAN ACADEMY,10907,AL,
DOTHAN HIGH SCHOOL,10910,AL,
DOUGLAS HIGH SCHOOL,10925,AL,
E H GENTRY TECHNICAL FACILITY,12578,AL,
EAST LAWRENCE HIGH SCHOOL,12659,AL,
EAST LIMESTONE HIGH SCHOOL,10185,AL,
EAST MEMORIAL CHRISTIAN ACADEMY,12221,AL,
EASTWOOD CHRISTIAN SCHOOL,12054,AL,
