High School Name, Code, State ,
ROCKDALE CAREER ACADEMY,110864,GA,
ROCKDALE COUNTY HIGH SCHOOL,110860,GA,
ROCKMART HIGH SCHOOL,112570,GA,
ROME HIGH SCHOOL,112608,GA,
ROSWELL HIGH SCHOOL,112625,GA,
RUTLAND HIGH SCHOOL,111956,GA,
SAINT ANDREWS ON THE MARSH,112681,GA,
SAINT FRANCIS HIGH SCHOOL,112629,GA,
SAINT JOHN BOSCO ACADEMY,112868,GA,
SAINT NICHOLAS ORTHODOX ACADEMY,110229,GA,
SAINT PIUS X CATHOLIC HIGH SCHOOL,110226,GA,
SAINT VINCENT'S ACADEMY,112695,GA,
SALEM HIGH SCHOOL,110861,GA,
SANDY CREEK HIGH SCHOOL,113052,GA,
SAVANNAH ARTS ACADEMY,112696,GA,
SAVANNAH CHRISTIAN PREPARATORY SCHOOL,112698,GA,
SAVANNAH CORPORATE ACAD PERFORMANCE LEARNING CTR,112699,GA,
SAVANNAH COUNTRY DAY SCHOOL,112700,GA,
SAVANNAH EARLY COLLEGE,111409,GA,
SAVANNAH HIGH SCHOOL,112710,GA,
SCHLEY COUNTY HIGH SCHOOL,111227,GA,
SCHOLARS GUILD,112730,GA,
SCHOOL OF LAW AND CRIMINAL JUSTICE,112711,GA,
SCOTT LEARNING CENTER,112671,GA,
SCREVEN COUNTY HIGH SCHOOL,112903,GA,
SEMINOLE CTY MIDDLE HS,111090,GA,
SEQUOYAH HIGH SCHOOL,110590,GA,
SHARP LEARNING CENTER,110907,GA,
SHAW HIGH SCHOOL,110834,GA,
SHEPHERDS HILL ACADEMY,112021,GA,
SHEPHERDS RIDGE ACADEMY,112848,GA,
SHERWOOD CHRISTIAN ACADEMY,110047,GA,
SHILOH CHRISTIAN ACADEMY,112249,GA,
SHILOH HIGH SCHOOL,111846,GA,
SHILOH HILLS CHRISTIAN SCHOOL,111738,GA,
SINCLAIR CHRISTIAN ACADEMY,112108,GA,
SKIPSTONE ACADEMY,111519,GA,
SNODON PREPARATORY SCHOOL,110368,GA,
SOAR ACADEMY,110071,GA,
SOARING EAGLES,111284,GA,
SOCIAL CIRCLE HIGH,112765,GA,
SOL C JOHNSON HIGH SCHOOL,112714,GA,
SOLID ROCK ACADEMY,112539,GA,
SOLID ROCK BAPTIST SCHOOL,112032,GA,
SONORAVILLE HIGH SCHOOL,110561,GA,
SOUND DOCTRINE CHRISTIAN ACADEMY,111767,GA,
SOUTH ATLANTA SCH LEADERSHIP/ECONOMIC EMPOWERMENT,110248,GA,
SOUTH ATLANTA SCH OF COMPUTER ANIMATION AND DESIGN,110215,GA,
SOUTH ATLANTA SCHOOL OF HEALTH & MEDICAL SCIENCES,110237,GA,
SOUTH ATLANTA SCHOOL OF LAW & SOCIAL JUSTICE,110211,GA,
SOUTH COBB HIGH SCHOOL,110305,GA,
SOUTH EFFINGHAM HIGH SCHOOL,111444,GA,
SOUTH FORSYTH HIGH SCHOOL,110922,GA,
SOUTH GEORGIA COLLEGE,5619,GA,
SOUTH GEORGIA PREPARATORY ACADEMY,113202,GA,
SOUTH GWINNETT HIGH SCHOOL,112755,GA,
SOUTH METRO PSYCHOEDUCATIONAL PROGRAM,111309,GA,
SOUTH PAULDING HIGH SCHOOL,111115,GA,
SOUTHEAST ATLANTA CHRISTIAN SCHOOL,112849,GA,
SOUTHEAST BULLOCH COUNTY HIGH SCHOOL,110460,GA,
SOUTHEAST WHITFIELD COUNTY HIGH SCHOOL,110990,GA,
SOUTHGATE CHRISTIAN SCHOOL,110298,GA,
SOUTHLAND ACADEMY,110072,GA,
SOUTHSIDE BAPTIST ACADEMY,112884,GA,
SOUTHSIDE CHRISTIAN SCHOOL,113209,GA,
SOUTHWEST ATLANTA CHRISTIAN ACADEMY,110241,GA,
SOUTHWEST DEKALB HIGH SCHOOL,111048,GA,
SOUTHWEST GEORGIA ACADEMY,111001,GA,
SOUTHWEST HIGH SCHOOL,111952,GA,
SPALDING HIGH SCHOOL,111513,GA,
SPARKS CHRISTIAN ACADEMY,111842,GA,
SPRAYBERRY SENIOR HIGH SCHOOL,112005,GA,
ST ANNE-PACELLI CATHOLIC SCHOOL,110832,GA,
ST PAUL ACADEMY,112716,GA,
STARR'S MILL HIGH SCHOOL,111277,GA,
STATESBORO HIGH SCHOOL,112805,GA,
STELLARIS ACADEMY,110592,GA,
STEPHENS COUNTY HIGH SCHOOL,111155,GA,
STEPHENSON HIGH SCHOOL,112834,GA,
STEWART COUNTY HIGH SCHOOL,111895,GA,
STOCKBRIDGE HIGH SCHOOL,112830,GA,
STONE MOUNTAIN CHRISTIAN SCHOOL,112837,GA,
STONE MOUNTAIN HIGH SCHOOL,112835,GA,
STRATFORD ACADEMY,111961,GA,
STRONG ROCK CHRISTIAN SCHOOL,112041,GA,
STRONG WALL ACADEMY,111799,GA,
SWAINSBORO HIGH SCHOOL,112885,GA,
SWAINSBORO TECHNICAL COLLEGE,5671,GA,
T W JOSEY HIGH SCHOOL,110300,GA,
TABERNACLE PRAISE CHRISTIAN ACADEMY,112085,GA,
TALIAFERRO COUNTY SCHOOL,110915,GA,
TALLULAH FALLS SCHOOL,112930,GA,
TATTNALL COUNTY HIGH SCHOOL,112480,GA,
TATTNALL SQUARE ACADEMY,111962,GA,
TAYLOR COUNTY HIGH SCHOOL,110510,GA,
TC PRAYER MOUNTAIN BOYS ACADEMY,111529,GA,
TECH HIGH SCHOOL,110262,GA,
TELFAIR COUNTY HIGH SCHOOL,112050,GA,
TEMIMA HIGH SCHOOL FOR GIRLS,110243,GA,
TEMPLE HIGH SCHOOL,112955,GA,
TERRELL ACADEMY,111028,GA,
TERRELL MIDDLE/HIGH SCHOOL,111030,GA,
THE HERITAGE SCHOOL,112243,GA,
DORIS & ALEX JEWISH COMMUNITY HS,110196,GA,
THE WEBER SCHOOL,110196,GA,
THE WESTMINSTER SCHOOLS,110256,GA,
THERRELL HS OF LAW-GOVERNMENT AND PUBLIC POLICY,110339,GA,
THERRELL SCHOOL OF ENGINEERING-MATHAMETICS-SCIENCE,110236,GA,
THOMAS COUNTY CENTRAL HIGH SCHOOL,112973,GA,
THOMAS JEFFERSON ACADEMY,110350,GA,
THOMAS UNIVERSITY,5072,GA,
THOMASVILLE HIGH SCHOOL,112980,GA,
THOMSON HIGH SCHOOL,112995,GA,
TIFT AREA ACADEMY,110680,GA,
TIFT COUNTY HIGH SCHOOL,113005,GA,
TLE CHRISTIAN ACADEMY,112006,GA,
TNT ACADEMY,111841,GA,
TOOMBS COUNTY HIGH SCHOOL,111915,GA,
TOWERS HIGH SCHOOL,111049,GA,
TOWNS COUNTY HIGH SCHOOL,111605,GA,
TREUTLEN HIGH SCHOOL,112770,GA,
TRI-CITIES HIGH SCHOOL,111175,GA,
TRINITY CENTER FOR INDEPENDENT STUDIES,112439,GA,
TRINITY CHAPEL ACADEMY,112449,GA,
TRINITY CHRISTIAN ACADEMY,111621,GA,
TRINITY CHRISTIAN SCHOOL,112806,GA,
TRINITY CHRISTIAN SCHOOL,112721,GA,
TRINITY CHRISTIAN SCHOOL,111136,GA,
TRINITY CLASSICAL SCHOOL INC,110669,GA,
TRION HIGH SCHOOL,113045,GA,
TROUP COUNTY COMPREHENSIVE HIGH SCHOOL,111777,GA,
TRUETT-MCCONNELL COLLEGE,5798,GA,
TUCKER HIGH SCHOOL,113050,GA,
TURNER COUNTY HIGH SCHOOL,110110,GA,
TWIGGS ACADEMY,111708,GA,
TWIGGS COUNTY COMPREHENSIVE MIDDLE HIGH SCHOOL,111710,GA,
UNION COUNTY HIGH SCHOOL,110380,GA,
UNION GROVE HIGH SCHOOL,112043,GA,
UNITY CHRISTIAN SCHOOL,112581,GA,
UNIVERSAL FAITH KINGDOM ACADEMY,111117,GA,
UNIVERSITY SCHOOL OF WORLD CHANGERS,110805,GA,
UPSON CHRISTIAN ACADEMY,112971,GA,
UPSON-LEE HIGH SCHOOL,112967,GA,
URBAN CHRISTIAN ACADEMY,112717,GA,
US PENITENTIARY ATLANTA,110251,GA,
VALDOSTA HIGH SCHOOL,113095,GA,
VALWOOD SCHOOL,113096,GA,
VERITAS ACADEMY,112713,GA,
VERITAS CLASSICAL SCHOOLS,110068,GA,
VERITAS CLASSICAL SCHOOLS - WEST COBB CAMPUS,111735,GA,
VETERANS HIGH SCHOOL,111742,GA,
VICTORY CHRISTIAN ACADEMY,110967,GA,
VICTORY CHRISTIAN SCHOOL,110865,GA,
VICTORY CHRISTIAN SCHOOL,113098,GA,
VIDALIA HIGH SCHOOL,113105,GA,
VILLA RICA HIGH SCHOOL,113130,GA,
VINEYARD HARVESTER CHRISTIAN ACADEMY,110647,GA,
WALKER SCHOOL,111986,GA,
WALNUT GROVE HIGH SCHOOL,111867,GA,
WALTON COUNTY PERFORMANCE LEARNING CENTER,112141,GA,
WAR HILL CHRISTIAN ACADEMY,111033,GA,
WARE COUNTY HIGH SCHOOL,113220,GA,
WARITH DEEN MOHAMMED HIGH SCHOOL,110249,GA,
WARNER ROBINS CHRISTIAN ACADEMY,113157,GA,
WARNER ROBINS HIGH SCHOOL,113160,GA,
WARREN COUNTY HIGH SCHOOL,113170,GA,
WASHINGTON COUNTY HIGH SCHOOL,112653,GA,
WASHINGTON WILKES COMPREHENSIVE HIGH SCHOOL,113185,GA,
WAVERLY HALL CHRISTIAN ACADEMY,113200,GA,
WAY OF HOLINESS NEW HOPE ACADEMY,110839,GA,
WAYCROSS COLLEGE,5889,GA,
WAYNE COUNTY HIGH SCHOOL,111720,GA,
WEBSTER COUNTY HIGH SCHOOL,112437,GA,
WELCOME CHRISTIAN SCHOOL,111778,GA,
WESLEYAN SCHOOL,110261,GA,
WEST END ACADEMY PLC AT BLALOCK BUILDING,110131,GA,
WEST FORSYTH HIGH SCHOOL,110929,GA,
WEST GEORGIA CHRISTIAN ACADEMY,111757,GA,
WEST HALL HIGH SCHOOL,112300,GA,
WEST LAURENS HIGH SCHOOL,110535,GA,
WESTFIELD SCHOOL,112389,GA,
WESTLAKE HIGH SCHOOL,110258,GA,
WESTMINSTER CHRISTIAN ACADEMY,113196,GA,
WESTMINSTER SCHOOLS OF AUGUSTA,110302,GA,
WESTOVER COMPREHENSIVE HIGH SCHOOL,110048,GA,
WESTRIDGE CHRISTIAN ACADEMY,112003,GA,
WESTSIDE CHRISTIAN ACADEMY,113158,GA,
WESTSIDE HIGH SCHOOL,111967,GA,
WESTSIDE HIGH SCHOOL,110303,GA,
WESTWOOD ACADEMY,110806,GA,
WESTWOOD SCHOOL,110578,GA,
WHEELER COUNTY HIGH SCHOOL,110027,GA,
WHEELER HIGH SCHOOL,112010,GA,
WHITE COUNTY HIGH SCHOOL,110720,GA,
WHITE CREEK CHRISTIAN ACADEMY,110721,GA,
WHITEFIELD ACADEMY,110169,GA,
WHITEWATER HIGH SCHOOL,111279,GA,
WHITFIELD COUNTY CAREER ACADEMY,110971,GA,
WILCOX COUNTY HIGH SCHOOL,112555,GA,
WILKINSON COUNTY SENIOR HIGH SCHOOL,111660,GA,
WILLIAM H SPENCER HIGH SCHOOL,110835,GA,
WILLIAM S HUTCHINGS CAREER CENTER,111970,GA,
WINDER-BARROW HIGH SCHOOL,113275,GA,
WINDSOR ACADEMY,111964,GA,
WINDSOR FOREST HIGH SCHOOL,112718,GA,
WOODFIELD ACADEMY,111969,GA,
WOODLAND HIGH SCHOOL,112827,GA,
WOODLAND HIGH SCHOOL,110619,GA,
WOODLEES CHRISTIAN ACADEMY,110909,GA,
WOODS MILL HIGH SCHOOL,111423,GA,
WOODSTOCK HIGH SCHOOL,113309,GA,
WOODVILLE TOMPKINS TECHNICAL AND CAREER HIGH SCHL,112692,GA,
WOODWARD ACADEMY,110797,GA,
WOODY GAP HIGH SCHOOL,112840,GA,
WORLD HARVEST SCHOOL,110320,GA,
WORLD OF TRUTH CHRISTIAN ACADEMY,112983,GA,
WORTH COUNTY HIGH SCHOOL,112910,GA,
WYNFIELD CHRISTIAN ACADEMY,111972,GA,
YESHIVA ATLANTA,110264,GA,
YESHIVA OHR YISRAEL,110265,GA,
YOUNG AMERICANS CHRISTIAN SCHOOL,110866,GA,
YOUNG-HARRIS COLLEGE,5990,GA,
YOUTH CHALLENGE ACADEMY,111329,GA,
YOUTH CHRISTIAN SCHOOL,112436,GA,
ACADEMY OF THE PACIFIC,120037,HI,
AIEA HIGH SCHOOL,120001,HI,
AMERICAN RENAISSANCE ACADEMY,120184,HI,
ASSETS SCHOOL,120216,HI,
CALVARY CHAPEL CHRISTIAN SCHOOL,120026,HI,
CHRISTIAN ACADEMY,120027,HI,
CHRISTIAN LIBERTY SCHOOL,120014,HI,
CONNECTIONS PUBLIC CHARTER SCHOOL,120247,HI,
DAMIEN MEMORIAL HIGH SCHOOL,120029,HI,
ELITE ELEMENT ACADEMY,120126,HI,
FRIENDSHIP CHRISTIAN SCHOOLS,120010,HI,
H P BALDWIN HIGH SCHOOL,120225,HI,
HAILI CHRISTIAN SCHOOL,120012,HI,
HAKIPU'U LEARNING CENTER,120153,HI,
HALAU KU MANA-NEW CENTURY PUBLIC CHARTER SCHOOL,120041,HI,
HALAU LOKAHI PUBLIC CHARTER SCHOOL,120060,HI,
HALE O ULU,120002,HI,
HANA HIGH AND ELEMENTARY SCHOOL,120005,HI,
HANALANI SCHOOLS,120214,HI,
HAWAII ACADEMY OF ARTS AND SCIENCE,120203,HI,
HAWAII BAPTIST ACADEMY,120030,HI,
HAWAII CENTER FOR THE DEAF AND BLIND,120031,HI,
HAWAII PREPARATORY ACADEMY,120150,HI,
HAWAII TECHNOLOGY ACADEMY,120246,HI,
HAWAIIAN MISSION ACADEMY,120035,HI,
HENRY J KAISER HIGH SCHOOL,120038,HI,
HILO HIGH SCHOOL,120015,HI,
HO OMANA HOU HIGH SCHOOL,120187,HI,
HOALA SCHOOL,120223,HI,
HONOKA'A HIGH SCHOOL,120025,HI,
HONOLULU COMMUNITY COLLEGE,4350,HI,
HONOLULU WALDORF SCHOOL,120023,HI,
HUALALAI ACADEMY,120138,HI,
IOLANI SCHOOL,120040,HI,
ISLAND PACIFIC ACADEMY,120162,HI,
ISLAND SCHOOL,120192,HI,
JAMES B CASTLE HIGH SCHOOL,120155,HI,
JAMES CAMPBELL HIGH SCHOOL,120003,HI,
KAAHUMANU HOU CHRISTIAN SCHOOL,120196,HI,
KAHILI ADVENTIST SCHOOL,120177,HI,
KAHUKU HIGH SCHOOL,120135,HI,
KAILUA CHRISTIAN ACADEMY,120142,HI,
KAILUA HIGH SCHOOL,120185,HI,
KAIMUKI HIGH SCHOOL,120045,HI,
KALAHEO HIGH SCHOOL,120143,HI,
KALANI HIGH SCHOOL,120047,HI,
KAMAILE ACADEMY PUBLIC CHARTER SCHOOL,120248,HI,
KAMEHAMEHA SCHOOLS HAWAII,120169,HI,
KAMEHAMEHA SCHOOLS KAPALAMA,120055,HI,
KAMEHAMEHA SCHOOLS MAUI,120217,HI,
KANU O KA AINA NEW CENTURY PUBLIC CHARTER SCHOOL,120151,HI,
KAPAA HIGH SCHOOL,120160,HI,
KAPIOLANI COMMUNITY COLLEGE,4377,HI,
KAPOLEI HIGH SCHOOL,120161,HI,
KAU HIGH SCHOOL,120200,HI,
KAUAI CHRISTIAN ACADEMY,120004,HI,
KAUAI COMMUNITY COLLEGE,4378,HI,
KAUAI HIGH SCHOOL,120195,HI,
KAWAIKINI NEW CENTURY PUBLIC CHARTER SCHOOL,120006,HI,
KE ANA LA'AHANA PUBLIC CHARTER SCHOOL,120016,HI,
KE KULA NIIHAU O KEKAHA,120229,HI,
KE KULA O EHUNUIKAIMALINO,120189,HI,
KEAAU HIGH SCHOOL,120167,HI,
KEALAKEHE HIGH SCHOOL,120174,HI,
KEKULA O SAMUEL M KAMAKAU,120163,HI,
KIHEI HIGH SCHOOL,120176,HI,
KING KEKAULIKE HIGH SCHOOL,120218,HI,
KOHALA HIGH SCHOOL,120170,HI,
KONAWAENA HIGH SCHOOL,120165,HI,
KOOLAU BAPTIST ACADEMY,120159,HI,
KUA O KA LA PUBLIC CHARTER SCHOOL,120204,HI,
KULA KAIAPUNI O ANUENUE,120048,HI,
LA PIETRA-HAWAII SCHOOL FOR GIRLS,120036,HI,
LAHAINALUNA HIGH SCHOOL,120175,HI,
LANAI HIGH AND ELEMENTARY SCHOOL,120180,HI,
LANAKILA BAPTIST HIGH SCHOOL,120243,HI,
LAUPAHOEHOE HIGH AND ELEMENTARY SCHOOL,120190,HI,
LE JARDIN ACADEMY,120139,HI,
LEEWARD COMMUNITY COLLEGE,4410,HI,
LEILEHUA HIGH SCHOOL,120215,HI,
LUTHERAN HIGH SCHOOL OF HAWAII,120078,HI,
MAIKAI LOA CHRISTIAN ACADEMY,120224,HI,
MAILI BIBLE HIGH SCHOOL,120221,HI,
MAKUA LANI CHRISTIAN SCHOOL,120064,HI,
MARYKNOLL HIGH SCHOOL,120065,HI,
MAUI COMMUNITY COLLEGE,4510,HI,
MAUI HIGH SCHOOL,120000,HI,
MAUI PREPARATORY ACADEMY,120188,HI,
MCKINLEY HIGH SCHOOL,120070,HI,
MID PACIFIC INSTITUTE,120075,HI,
MILILANI HIGH SCHOOL,120197,HI,
MOANALUA HIGH SCHOOL,120076,HI,
MOLOKAI CHRISTIAN ACADEMY,120131,HI,
MOLOKAI HIGH SCHOOL,120130,HI,
MYRON B THOMPSON ACADEMY,120039,HI,
NANAKULI HIGH AND INTERMEDIATE SCHOOL,120199,HI,
OLELO CHRISTIAN ACADEMY,120181,HI,
OLOMANA SCHOOL,120237,HI,
PACIFIC BUDDHIST ACADEMY,120009,HI,
PAHOA HIGH AND INTERMEDIATE,120205,HI,
PARKER SCHOOL,120152,HI,
PEARL CITY HIGH SCHOOL,120213,HI,
PENIEL EDUCATIONAL MINISTRIES,120212,HI,
PUNAHOU SCHOOL,120085,HI,
RADFORD HIGH SCHOOL,120028,HI,
REDEMPTION ACADEMY,120144,HI,
ROOSEVELT HIGH SCHOOL,120090,HI,
SACRED HEARTS ACADEMY HIGH SCHOOL,120095,HI,
SAINT ANDREWS PRIORY SCHOOL,120100,HI,
SAINT ANTHONY JUNIOR-SENIOR HIGH SCHOOL,120235,HI,
SAINT JOSEPHS HIGH SCHOOL,120020,HI,
SAINT LOUIS SCHOOL,120110,HI,
SEABURY HALL,120198,HI,
ST FRANCIS SCHOOL,120105,HI,
TRINITY CHRISTIAN SCHOOL,120186,HI,
UNIVERSITY LABORATORY SCHOOL,120115,HI,
W R FARRINGTON HIGH SCHOOL,120125,HI,
WAIAKEA HIGH SCHOOL,120022,HI,
WAIALUA HIGH SCHOOL,120220,HI,
WAIANAE HIGH SCHOOL,120222,HI,
WAIMEA HIGH SCHOOL,120240,HI,
WAIPAHU HIGH SCHOOL,120245,HI,
WATERS OF LIFE PUBLIC CHARTER SCHOOL,120209,HI,
WEST HAWAII EXPLORATIONS ACADEMY,120140,HI,
WINDWARD COMMUNITY COLLEGE,4976,HI,
WORD OF LIFE ACADEMY,120120,HI,
ABERDEEN HIGH SCHOOL,130000,ID,
ADA COUNTY JUVENILE DETENTION CENTER SCHOOL,130680,ID,
ALZAR SCHOOL,130096,ID,
AMBROSE SCHOOL,130061,ID,
AMERICAN FALLS ACADEMY,130004,ID,
AMERICAN FALLS HIGH SCHOOL,130005,ID,
ANOTHER CHOICE VIRTUAL CHARTER SCHOOL,130448,ID,
APOSTOLIC CHRISTIAN TRAINING SCHOOL,130304,ID,
ASCENT PROGRAM,130024,ID,
ATLAS SCHOOL,130401,ID,
BASIN HIGH SCHOOL,130174,ID,
BEAR LAKE HIGH SCHOOL,130405,ID,
BETHEL TEMPLE CHRISTIAN ACADEMY,130640,ID,
BISHOP KELLY HIGH SCHOOL,130041,ID,
BLACK CANYON HIGH SCHOOL,130191,ID,
BLACKFOOT HIGH SCHOOL,130035,ID,
BLISS HIGH SCHOOL,130040,ID,
BOISE CHRISTIAN ACADEMY,130063,ID,
BOISE HIGH SCHOOL,130042,ID,
BONNERS FERRY HIGH SCHOOL,130055,ID,
BONNEVILLE HIGH SCHOOL,130290,ID,
BONNEVILLE ONLINE SCHOOL,130288,ID,
BORAH HIGH SCHOOL,130043,ID,
BOULDER CREEK ACADEMY,130027,ID,
BRIDGE ACADEMY THE,130081,ID,
BRIGHAM YOUNG UNIVERSITY,4657,ID,
BUHL HIGH SCHOOL,130065,ID,
BURLEY CHRISTIAN ACADEMY,130068,ID,
BURLEY HIGH SCHOOL,130070,ID,
BUTTE COUNTY HIGH SCHOOL,130010,ID,
CALDWELL SENIOR HIGH SCHOOL,130073,ID,
CALVARY CHAPEL CHRISTIAN SCHOOL,130302,ID,
CALVARY CHRISTIAN SCHOOL,130437,ID,
CAMAS COUNTY HIGH SCHOOL,130195,ID,
CAMBRIDGE HIGH SCHOOL,130085,ID,
CANYON RIDGE HIGH SCHOOL,130636,ID,
CANYON SPRINGS HIGH SCHOOL,130434,ID,
CAPITAL HIGH SCHOOL,130046,ID,
CAREY HIGH SCHOOL,130090,ID,
CARIBOU HIGH SCHOOL,130609,ID,
CASCADE HIGH SCHOOL,130095,ID,
CASSIA HIGH SCHOOL,130071,ID,
CASTLEFORD HIGH SCHOOL,130100,ID,
CENTENNIAL BAPTIST SCHOOL,130076,ID,
CENTENNIAL HIGH SCHOOL,130389,ID,
CENTRAL ACADEMY,130386,ID,
CENTREAL HIGH SCHOOL,130530,ID,
CENTURY HIGH SCHOOL,130497,ID,
CHALLIS HIGH SCHOOL,130105,ID,
CHRISTIAN CENTER SCHOOL,130118,ID,
CLARK COUNTY HIGH SCHOOL,130175,ID,
CLARK FORK JUNIOR-SENIOR HIGH SCHOOL,130110,ID,
CLASSICAL CHRISTIAN ACADEMY,130518,ID,
CLEAR LAKES CHRISTIAN ACADEMY,130066,ID,
CLEARWATER VALLEY HIGH SCHOOL,130330,ID,
COEUR D ALENE CHARTER ACADEMY,130115,ID,
COEUR D ALENE SENIOR HIGH SCHOOL,130120,ID,
COLE VALLEY CHRISTIAN HIGH SCHOOL,130045,ID,
COLLEGE OF SOUTHERN IDAHO,4114,ID,
COLUMBIA HIGH SCHOOL,130438,ID,
COMMUNITY SCHOOL,130307,ID,
COMPASS ACADEMY,130286,ID,
COMPASS PUBLIC CHARTER SCHOOL,130388,ID,
COSTA ACADEMY,130072,ID,
COUNCIL CHRISTIAN ACADEMY,130132,ID,
COUNCIL HIGH SCHOOL,130135,ID,
CULDESAC HIGH SCHOOL,130145,ID,
DEARY HIGH SCHOOL,130155,ID,
DECLO HIGH SCHOOL,130160,ID,
DIETRICH HIGH SCHOOL,130165,ID,
EAGLE ACADEMY,130176,ID,
EAGLE HIGH SCHOOL,130177,ID,
EKKLESIA CHRISTIAN SCHOOL,130179,ID,
ELK MOUNTAIN ACADEMY,130112,ID,
EMERSON HIGH SCHOOL,130299,ID,
EMMETT HIGH SCHOOL,130190,ID,
FILER HIGH SCHOOL,130205,ID,
FIRTH SENIOR HIGH SCHOOL,130210,ID,
FORREST M BIRD CHARTER SCHOOL,130596,ID,
FRANK CHURCH HIGH SCHOOL,130052,ID,
FRANKLIN COUNTY HIGH SCHOOL,130516,ID,
FRESCO ARTS ACADEMY,130178,ID,
FRUITLAND HIGH SCHOOL,130215,ID,
FRUITLAND PREPARATORY ACADEMY,130216,ID,
GARDEN VALLEY HIGH SCHOOL,130220,ID,
GEM STATE ACADEMY,130075,ID,
GENESEE JR/SR HIGH SCHOOL,130225,ID,
GENESIS PREPARATORY ACADEMY,130517,ID,
GLENNS FERRY HIGH SCHOOL,130230,ID,
GOODING ACCELERATED LEARNING CENTER,130236,ID,
GOODING HIGH SCHOOL,130235,ID,
GRACE HIGH SCHOOL,130240,ID,
GRANGEVILLE HIGH SCHOOL,130250,ID,
GREENLEAF FRIENDS ACADEMY,130260,ID,
HAGERMAN JUNIOR SENIOR HIGH SCHOOL,130265,ID,
HANSEN HIGH SCHOOL,130275,ID,
HIGHLAND HIGH SCHOOL,130498,ID,
HIGHLAND SENIOR HIGH SCHOOL,130140,ID,
HILLCREST HIGH SCHOOL,130294,ID,
HOMEDALE CHRISTIAN SCHOOL,130284,ID,
HOMEDALE HIGH SCHOOL,130285,ID,
HOPE CHRISTIAN ACADEMY,130433,ID,
HORSESHOE BEND HIGH SCHOOL,130287,ID,
HOUSE OF THE LORD CHRISTIAN ACADEMY,130466,ID,
IDAHO ARTS CHARTER SCHOOL,130444,ID,
IDAHO CITY HIGH SCHOOL,130293,ID,
IDAHO CONNECTS ONLINE SCHOOL,130700,ID,
IDAHO DISTANCE EDUCATION ACADEMY-POST FALLS,130064,ID,
IDAHO FALLS HIGH SCHOOL,130295,ID,
IDAHO SCHOOL FOR THE DEAF AND THE BLIND,130237,ID,
IDAHO VIRTUAL ACADEMY,130028,ID,
IMMACULATE CONCEPTION ACADEMY,130509,ID,
INDEPENDENCE ALTERNATIVE HIGH SCHOOL,130031,ID,
INITIAL POINT HIGH SCHOOL,130334,ID,
INNERCEPT ACADEMY,130122,ID,
INSPIRE CONNECTIONS ACADEMY,130089,ID,
ISUCCEED VIRTUAL HIGH SCHOOL,130083,ID,
JEFFERSON HIGH SCHOOL,130543,ID,
JERONE HIGH SCHOOL,130300,ID,
JUNIPER HILLS-NAMPA,130446,ID,
JUNIPER HILLS-SAINT ANTHONY,130583,ID,
JUNIPER HILS HIGH SCHOOL JUVENILE CC LEWISTON,130350,ID,
KAMIAH BIBLE ACADEMY,130306,ID,
KAMIAH HIGH SCHOOL,130305,ID,
KELLOGG HIGH SCHOOL,130310,ID,
KENDRICK SENIOR HIGH SCHOOL,130315,ID,
KIMBERLY HIGH SCHOOL,130320,ID,
KOOTENAI BRIDGE ACADEMY,130128,ID,
KOOTENAI JR SR HIGH SCHOOL,130280,ID,
KUNA HIGH SCHOOL,130335,ID,
LAKE CITY HIGH SCHOOL,130119,ID,
LAKE PEND OREILLE HIGH SCHOOL,130591,ID,
LAKELAND HIGH SCHOOL,130525,ID,
LAKESIDE HIGH SCHOOL,130495,ID,
LAPWAI HIGH SCHOOL,130340,ID,
LEADORE HIGH SCHOOL,130345,ID,
LEWISTON HIGH SCHOOL,130355,ID,
LIBERTY CHARTER HIGH SCHOOL,130435,ID,
LIGHTHOUSE CHRISTIAN SCHOOL,130631,ID,
LINCOLN HIGH SCHOOL,130297,ID,
LOGOS SCHOOL,130414,ID,
MACKAY JR/SR HIGH SCHOOL,130360,ID,
MADISON SENIOR HIGH SCHOOL,130535,ID,
MAGIC VALLEY HIGH SCHOOL,130632,ID,
MALAD HIGH SCHOOL,130365,ID,
MARANATHA CHRISTIAN SCHOOL,130047,ID,
MARIAN PRITCHETT SCHOOL,130087,ID,
MARSH VALLEY HIGH SCHOOL,130015,ID,
MARSING HIGH SCHOOL,130375,ID,
MCCALL DONNELLY HIGH SCHOOL,130380,ID,
MEADOWS VALLEY HIGH SCHOOL,130445,ID,
MELBA JUNIOR-SENIOR HIGH SCHOOL,130385,ID,
MERIDIAN ACADEMY,130391,ID,
MERIDIAN CHARTER HIGH SCHOOL,130392,ID,
MERIDIAN HIGH SCHOOL,130390,ID,
MERIDIAN MEDICAL ARTS CHARTER HIGH SCHOOL,130397,ID,
MIDDLETON HIGH SCHOOL,130395,ID,
MIDVALE SENIOR HIGH SCHOOL,130400,ID,
MINICO SENIOR HIGH SCHOOL,130575,ID,
MONTROSE ACADEMY,130413,ID,
MOSCOW SENIOR HIGH SCHOOL,130415,ID,
MOUNT HARRISON HIGH SCHOOL,130574,ID,
MOUNTAIN HOME HIGH SCHOOL,130420,ID,
MOUNTAIN VIEW ALTERNATIVE HIGH SCHOOL,130526,ID,
MOUNTAIN VIEW HIGH SCHOOL,130396,ID,
MULLAN JR-SR HIGH SCHOOL,130425,ID,
MURTAUGH HIGH SCHOOL,130430,ID,
