High School	 StreetAddress	 City	 State	 Zip		
Headland High School	8 Sporman Street	Headland	 Al 36345			
Hewitt-Trussville High School	6450 Husky Parkway	Trussville	 AL 35173			
Hillcrest High School	300 Patriot Parkway	Tuscaloosa	 AL 35405			
Hokes Bluff High School	1865 Appalachia Rd.	Hokes Bluff	 AL 35903			
Holly Pond High School	160 New Hope Road	Holly Pond	 AL 35083			
Holt High School	3801 Alabama Avenue NE	Tuscaloosa	 AL 35404			
Holtville High School	10425 HOLTVILLE RD	DEATSVILLE	 AL 36022			
Homebound High School	417 29TH ST S	BIRMINGHAM	 AL 35223			
Homewood High School	1901 S. Lakeshore Dr.	Homewood	 AL 35209			
Hoover High School	1000 Buccaneer Drive	Hoover	 Alabama 35244			
J. B. Pennington High School	81 College Street	Blountsville	 AL 35031			
J. F. Shields High School	17688 HIGHWAY 21 N	BEATRICE	 AL 36425			
Jackson High Schools	321 Stanley Drive	Jackson	 AL 36545			
Jackson-Olin High School	510 12th St	Birmingham	 AL 35218			
Jacksonville High Schools	1000 George Douthit Dr	Jacksonville	 AL 36265			
Jefferson Christian Academy	1500 Heritage Place Drive	Irondale	 Al. 35210			
JEFFERSON COUNTY IBS	6100 OLD LEEDS RD	IRONDALE	 AL 35210			
Jefferson Davis High School	3420 Carter Hill Rd	Montgomery	 AL 36111			
JEMISON HIGH SCHOOL	25195 US HIGHWAY 31	JEMISON	 AL 35085			
jess lanier high school	100 High School Drive	Bessemer	 AL 35022			
JO Johnson High School	6201 Pueblo Drive	Huntsville	 AL 35810			
John S Shaw High School	5960 ARLBERG ST	MOBILE	 AL 36608			
John T. Morgan Academy	2901 West Dallas Avenue P.O. Box 2650	Selma	 AL 36702-2650			
Kate Duncan Smith DAR High School	6077 Main Street	Grant	 Alabama 35747			
Keith High School	1166 Country Road 115	Orrville	 AL 36767			
LADOW TECHNOLOGY CENTER	377 LADOW CENTER CIR	CARROLLTON	 AL 35447			
Lafayette High School	214 1st Ave SE	Lafayette	 AL 36862			
LAMAR COUNTY SCHOOL OF TECHNOLOGY	43880 HIGHWAY 17 S	VERNON	 AL 35592			
Lanett High School	1301 South 8th Avenue	Lanett	 AL 36863			
Lanier Senior High School	1756 S. Court St.	Montgomery	 AL 36104			
Lawrence County High School	102 College Street	Moulton	 AL 35650			
Lee High School	606 Forest Cir NE	Huntsville	 AL 35811			
Leeds High School	1500 Green Wave Drive	Leeds	 AL 35094			
