High School	 StreetAddress	 City	 State	 Zip		
Miami Beach High School	2231 Prairie Avenue	Miami Beach	 FL 33139			
Miami Carol City High School	3422 NW 187th Street	Opa Locka	 FL 33056			
Miami Central High School	1781 NW 95th Street	Miami	 FL 33147			
Miami Coral Park High School	8865 SW 16th Street	Miami	 FL 33165			
Miami Douglas Macarthur North Senior High	13835 NW 97 Avenue	Hialeah	 Florida 33018			
Miami Edison High School	6161 NW 5th Court	Miami	 FL 33127			
Miami High School	2450 SW 1st Street	Miami	 FL 33135			
Miami Jackson High School	1751 NW 36th Street	Miami	 FL 33142			
Miami Killian High School	10655 SW 97th Avenue	Miami	 FL 33176			
Miami Lakes Educational Center	5780 NW 158Th St	Miami Lakes	 FL 33014			
Miami Norland High School	1050 NW 195th Street	Miami	 FL 33169			
Miami Northwestern High School	1100 NW 71st Street	Miami	 FL 33150			
Miami Palmetto High School	7460 SW 118th Street	Miami	 FL 33156			
Miami Southridge High School	19355 SW 114th Avenue	Miami	 FL 33157			
Miami Springs High School	751 Dove Avenue	Miami Springs	 FL 33166			
Miami Sunset High School	13125 SW 72nd Street	Miami	 FL 33183			
Mid Florida Tech	2900 W Oak Ridge Rd	Orlando	 FL 32809			
Middleburg High School Online	3750 County Road 220	Middleburg	 FL 32068			
Middleton High School	4801 N 22nd Street	Tampa	 FL 33610			
Milton High School	5445 Stewart Street	Milton	 FL 32570			
Miramar High School	3601 SW 89th Avenue	Miramar	 FL 33025			
Monarch High School	5050 Wiles Rd	Coconut Creek	 FL 33073			
Moore Haven High School	P. O. Box 99	Moore Haven	 FL 33471			
Mount Dora High School	700 N Highland St	Mount Dora	 FL 32757			
Mulberry High School	1 Panther Place	Mulberry	 FL 33860			
Naples High School	1100 Golden Eagle Circle	Naples	 FL 34102			
Nathan B. Forrest High	5530 Firestone Road	Jacksonville	 FL 32244			
Nature Coast Technical High School	4057 California St		Brooksville	 FL 34604		
Navarre High School	8600 High School Boulevar	Navarre	 FL 32566			
Richard Milburn Academy	3800 Evans Ave	Fort Myers	 FL 33901			
Richard Milburn Academy	2400 S Ridgewood Ave	South Daytona	 FL 32119			
Richard Milburn Academy	7545 Little Rd	New Port Richey	 FL 34654			
Richard Milburn Academy	1404 Tech Blvd	Tampa	 FL 33619			
Richard Milburn Academy	6210 17th Ave W	Bradenton	 FL 34209			
Richard Milburn Academy	2207 Industrial Blvd	Sarasota	 FL 34234			
Ridge Community High School	500 Orchid Drive	Davenport	 FL 33837			
Ridgeview High School	466 Madison Avenue	Orange Park	 FL 32065			
Ridgewood High School	7650 Orchid Lake Road	New Port Richey	 FL 34653			
River Ridge High School	11646 Town Center Road	New Port Richey	 FL 34654			
Riverdale High School	2600 Buckingham Road	Fort Myers	 FL 33905			
Riverside Academy	4004 N Riverside Dr	Tampa	 FL 33603			
Riverview High School	1 Ram Way	Sarasota	 FL 34231			
Riverview High School	11311 Boyette Rd	Riverview	 FL 33569			
Robert E. Lee High School	1200 S McDuff Avenue	Jacksonville	 FL 32205			
Robert Hungerford Preparatory High School	100 E Kennedy Boulevard	Eatonville	 FL 32751			
Robert Morgan Education Center	18180 SW 122nd Avenue		Miami	 FL 33177		
Robinson High School	6311 S Lois Ave	Tampa	 FL 33616			
Rockledge High School	220 Rockledge Avenue	Rockledge	 FL 32955			
Roosevelt Academy	115 E Street	Lake Wales	 FL 33853			
Rosenwald School	1096 Merritt Street		Altamonte Springs	 FL 32701		
Royal Palm Beach High School	10600 Okeechobee Boulevar	Royal Palm Beach	 FL 33411			
Ruby J. Gainer Charter School	1600 E Moreno ST	Pensacola	 FL 32523			
Rutherford High School	1000 School Avenue	Panama City	 FL 32401			
S.T.A.R. Charter School	225 Ave B NW	Winter Haven	 FL 33881			
Sabal Palm School	10980 Demille Rd	Polk City	 FL 33868			
Sail High School	725 N Macomb Street	Tallahassee	 FL 32303			
Samuel W. Wolfson High School	7000 Powers Avenue	Jacksonville	 FL 32217			
Sandalwood High School	2750 John Prom Boulevard	Jacksonville	 FL 32246			
Santa Fe High School	16213 NW Us Highway 441	Alachua	 FL 32615			
Santa Rosa High School	5330 Berryhill Road	Milton	 FL 32570			
Santaluces Community High School	6880 Lawrence Road	Lantana	 FL 33462			
Sarasota High School	1000 S School Avenue	Sarasota	 FL 34237			
Satellite High School	300 Scorpion Court	Satellite Beach	 FL 32937			
School For Applied Technology	225 NE 34th ST 3rd Floor	Miami	 FL 33137			
Seabreeze High School	2700 N Oleander Avenue	Daytona Beach	 FL 32118			
Seagull Academy	1801 12th Avenue South	Lake Worth Road	 FL 33461			
Sebastian River High School	9001 Nintieth Avenue	Sebastian	 FL 32958			
Sebring High School	3514 Kenilworth Boulevard	Sebring	 FL 33870			
Seminole High School	2750 John Prom Boulevard	Jacksonville	 FL 32246			
Seminole High School	8401 131st St	Seminole	 FL 33776			
Seminole High School	2701 Ridgewood Avenue	Sanford	 FL 32773			
Seminole Ridge Community High School	4601 Seminole Pratt-Whitney Rd	Loxahatchee	 Fl 33470			
Sheridan Technical Center	5400 Sheridan Street	Hollywood	 FL 33021			
Shorecrest High School	5101 1st Street NE	St. Petersburg	 FL 33703			
Sickles High School	7950 Gunn Highway	Tampa	 FL 33626			
Silver River Marine Institute	2500 SE 44th CT	Ocala	 FL 34471			
Silver Sands High School	349 Holmes Boulevard	 NW	Fort Walton Beach	 FL 32548		
Simmons Career Center	1202 W Grant St	Plant City	 FL 33563			
Sneads High School	8066 Old Spanish Trail	Sneads	 FL 32460			
W. E. Combs School	720 Lovejoy Rd NW	Fort Walton Beach	 FL 32548			
W. J. Woodham High School	150 E Burgess Road	Pensacola	 FL 32503			
Wakulla High School	3237 Coastal Hwy	Crawfordville	 FL 32327			
Walton Career Development Center	761 N 20th St	Defuniak Springs	 FL 32433			
Walton Senior High School	555 Walton Rd	Defuniak Springs	 FL 32433			
Washington Senior High School	6000 College PKWY	Pensacola	 FL 32504			
Wellington High School	2101 Greenview Shores Blvd	Wellington	 FL 33414			
Wesley Chapel High School	30651 Wells Road		Wesley Chapel	 FL 33545		
West Boca Ration High School	12811 Glades Rd	Boca Raton	 FL 33498			
West Florida High School	2400 Longleaf Drive	Pensacola	 FL 32526			
West Gadsden High School	P. O. Box 10	Greensboro	 FL 32330			
West Nassau County High School	1 Warrior Dr	Callahan	 FL 32011			
West Orange High School	1625 S Beulah Road	Winter Garden	 FL 34787			
West Port High School	3733 SW 80th Avenue	Ocala	 FL 34481			
West Shore High School	250 Wildcat Aly	Melbourne	 FL 32935			
Western High School	1200 SW 136th Avenue	Davie	 FL 33325			
Westminster Academy	5601 N Federal Highway	Fort Lauderdale	 FL 33308			
Westside Tech	955 E. Story Road	Winter Garden	 FL 34787			
Wewahitchka High School	1 Gator Circle	Wewahitchka	 FL 32465			
Wharton High School	20150 Bruce B Downs Boule	Tampa	 FL 33647			
Wildwood High School	700 Huey Street	Wildwood	 FL 34785			
William M. Raines High School	3663 Raines Ave	Jacksonville	 FL 32209			
William T. Dwyer High School	13601 N Military Trail	Palm Beach Gardens	 FL 33418			
William T. McFatter Tech. Center	6500 Nova Drive	Davie	 FL 33317			
Williston High School	427 W Noble Avenue	Williston	 FL 32696			
Wingate Oaks Center	1211 NW 33rd Terrace	Fort Lauderdale	 FL 33311			
Winter Haven High School	600 Sixth Street	 SE	Winter Haven	 FL 33880		
Winter Park High School	2100 Summerfield Road	Winter Park	 FL 32792			
Winter Park Tech	901 W Webster Avenue	Winter Park	 FL 32789			
Winter Springs High School	130 Tuskawilla Road	Winter Springs	 FL 32708			
Withlacoochee Technical Institute	1201 W. Main Street		Inverness	 Florida 34450		
Workforce Advantage Academy	2113 East South Street	Orlando	 FL 32803			
Zephyrhills High School	6335 12th Street	Zephyrhills	 FL 33542			
Cairo High School	455 Fifth Street	 SE	Cairo	 GA 31728		
Calhoun High School	315 South River Street	Calhoun	 GA 30701			
Callaway High School	221 Whitfield Road	Hogansville	 GA 30230			
Camden County High School	1585 Laurel Island Parkway	Kingsland	 GA 31548			
Campbell High School	5265 Ward Street	Smyrna	 GA 30080			
Career Academy	2300 Maddox Chapel Road	Dalton	 GA 30721			
Carl Harrison High School	4500 Due West Road	Kennesaw	 GA 30152			
Carrollton High School	202 Trojan Drive	Carrollton	 GA 30117			
Cartersville High School	320 East Church Street	Cartersville	 GA 30120			
Carver High School	3100 Eighth Street	Columbus	 GA 31906			
Carver High School	1820 Mary Dell DR. SE (TEMPOR)	Atlanta	 GA 30315			
Cass High School	738 Grassdale Road	 NW	Cartersville	 GA 30120		
Catoosa Crossroads Academy	2 Barnhardt Circle	Fort Oglethorpe	 GA 30742			
Cedar Grove High School	2360 River Road	Ellenwood	 GA 30294			
Cedar Shoals High School	1300 Cedar Shoals Drive	Athens	 GA 30605			
Cedartown High School	167 Frank Lott Drive	Cedartown	 GA 30125			
Centennial High School	9310 Scott Road	Roswell	 GA 30076			
Central Education Center	160 Martin Luther King		Jr. Drive Newnan	 GA 30263		
Central Gwinnett High School	564 West Crogan Street	Lawrenceville	 GA 30045			
Central High School	113 Central Road	Carrollton	 GA 30116			
Central High School	2155 Napier Avenue	Macon	 GA 31204			
Chamblee Charter High School	3688 Chamblee Dunwoody Road	Chamblee	 GA 30341			
Chapel Hill High School	4899 Chapel Hill Road	Douglasville	 GA 30135			
Charlton County High School	500 Indian Trail	Folkston	 GA 31537			
Chattahoochee County High School	360 Highway 26	Cusseta	 GA 31805			
Chattahoochee High School	5230 Taylor Road	Alpharetta	 GA 30022			
Chattooga High School	989 Highway 114	Summerville	 GA 30747			
Cherokee Christian High School	3075 Trickum Rd	Woodstock	 GA 30188			
Cherokee High School	930 Marietta Highway	Canton	 GA 30114			
Chestatee High School	3005 Sardis Road	Gainesville	 GA 30501			
Clarke Central High School	350 South Milledge Avenue	Athens	 GA 30605			
Clarkston High School	618 North Indian Creek Drive	Clarkston	 GA 30021			
Claxton High School	102 N. Clark St.		Claxton	 GA 30417		
Clinch County High School	863 North Carswell Street Exte	Homerville	 GA 31634			
Coffee County High School	159 Trojan Way	Douglas	 GA 31533			
Collins Hill High School	50 Taylor Road	Suwanee	 GA 30024			
Colquitt County High School	1800 Park Avenue	Moultrie	 GA 31768			
Columbia High School	2106 Columbia Drive	Decatur	 GA 30032			
Columbus High School	1700 Cherokee Avenue	Columbus	 GA 31906			
Commerce High School	272 Lakeview Drive		Commerce	 GA. 30529		
Cook High School	1200 North Hutchinson Street	Adel	 GA 31620			
Coosa High School	4454 Alabama Highway NW	Rome	 GA 30165			
Crawford County High School	400 East Agency Street	Roberta	 Georgia 31078			
Creekside High School	7405 Herndon Road	Fairburn	 GA 30213			
Crim High School	256 Clifton Street SE	Atlanta	 GA 30317			
Crisp County High School	2402 Cougar Alley	Cordele	 GA 31015			
Cross Creek High School	3855 Old Waynesboro Road	Augusta	 GA 30906			
Cross Keys High School	1626 North Druid Hills Road	 N	Atlanta	 GA 30319		
Crossroads High School	4895 Chapel Hill Road	Douglasville	 GA 30135			
Dacula High School	123 Broad Street	Dacula	 GA 30019			
Eagle's Landing High School	301 Tunis Road	McDonough	 GA 30253			
Early County High School	12020 Columbia Street	Blakely	 GA 39823			
East Coweta High School	400 Sharpsburg-Mccollum Road	Sharpsburg	 GA 30277			
East Hall High School	3534 E Hall Rd	Gainesville	 GA 30507			
East Laurens High School	920 Highway 80 East	Dublin	 GA 31027			
East Paulding High School	3320 East Paulding Drive	Dallas	 GA 30157			
Eastside High School	10245 Eagle Drive	Covington	 GA 30014			
Effingham County High School	1589 Highway 119 South	Springfield	 GA 31329			
Elbert County High School	600 Abernathy Circle	Elberton	 GA 30635			
Elberta Open Campus High School	304 Elberta Road	Warner Robins	 GA 31093			
Etowah High School	6565 Putnam Ford Drive	Woodstock	 GA 30189			
Evans High School	4550 Cox Road	Evans	 GA 30809			
Fannin County High School	2346 East First Street	Blue Ridge	 GA 30513			
Fayette County High School	One Tiger Trail	Fayetteville	 GA 30214			
Fitzgerald High School	601 West Cypress Street	Fitzgerald	 GA 31750			
Flowery Branch High School	4450 Hog Mt. Road	Flowery Branch	 GA 30542			
Floyd County Technical High School	100 Vocational Drive	 SW	Rome	 GA 30161		
Forest Park High School	5452 Phillips Drive	Forest Park	 GA 30297			
Forsyth Central High School	520 Tribble Gap Road	Cumming	 GA 30040			
Forsyth County Academy	7745 Majors Road	Cumming	 GA 30041			
Franklin County High School	6570 GA Highway	Carnesville	 GA 30521			
Frederick Douglass High School	225 Hamilton E. Holmes Drive	Atlanta	 GA 30318			
Freemanville Road High School Site	East Side of Birmingham Hwy.	Alpharetta	 GA 30004			
Gainesville High School	830 Century Pl	Gainesville	 GA 30501			
Gateway to College Academy	555 N. Indian Creek Drive	Clarkston	 GA 30021			
Georgia Academy for the Blind	2895 Vineville Avenue	Macon	 GA 31204			
Gilmer High School	408 Bobcat Trl	Ellijay	 GA 30540			
Glenn Hills High School	2840 Glenn Hills Drive	Augusta	 GA 30906			
Glynn Academy	1001 Mansfield Street	Brunswick	 GA 31520			
Gordon Central High School	335 Warrior Path	Calhoun	 GA 30701			
Gordon Lee High School	105 Lee Circle	Chickamauga	 GA 30707			
Grady High School	929 Charles Allen Drive	 NE	Atlanta	 GA 30309		
Grayson High School	50 Hope Hollow Road	Loganville	 GA 30052			
Greenbrier High School	5114 Riverwood Parkway	Evans	 GA 30809			
Greene County High School	1002 South Main Street	Greensboro	 GA 30642			
Greenville High School	17656 Roosevelt Highway	Greenville	 GA 30222			
Griffin High School	1617 West Poplar Street	Griffin	 GA 30224			
Groves High School	100 Wheathill Road	Garden City	 GA 31408			
Habersham Central High School	171 Raider Circle	Mount Airy	 GA 30563			
Hancock Central High School	11311 Hwy. 15 North	Sparta	 Georgia 31087			
Haralson County High School	1655 Ga Highway 120	Tallapoosa	 GA 30176			
Hardaway High School	2901 College Drive	Columbus	 GA 31906			
Harlem High School	1070 Appling-Harlem Road	Harlem	 GA 30814			
Harris County High School	8281 Highway 116	Hamilton	 GA 31811			
Hart County High School	59 Fifth Street	Hartwell	 GA 30643			
Harvester Christian Academy	4241 Central Church Road	Douglasville	 GA 30135			
Hawkinsville High School	Unadilla Highway	Hawkinsville	 GA 31036			
Heard County High School	545 Main Street	Franklin	 GA 30217			
Henry County High School	401 East Tomlinson Street	McDonough	 GA 30253			
Henry W. Grady High School	929 Charles Allen Drive	Atlanta	 GA. 30309			
Hephzibah High School	4558 Brothersville Road	Hephzibah	 GA 30815			
Heritage High School	2400 Granade Road	Conyers	 GA 30094			
Herschel V. Jenkins High School	1800 East Derenne Avenue	Savannah	 GA 31406			
Hiram High School	702 Balentine Drive	Hiram	 GA 30141			
Houston County Career and Technology Center	1311 Corder Road	Warner Robins	 GA 31088			
Houston County High School	920 Highway 96	Warner Robins	 GA 31088			
Independence High School	791 Mimosa Boulevard	Roswell	 GA 30075			
Irwin County High School	149 Chieftan Circle	Ocilla	 GA 31774			
Jackson County High School	1668 Winder Highway	Jefferson	 GA 30549			
Jackson High School	323 Harkness Street	Jackson	 GA 30233			
Jasper County High School	1289 College Street	Monticello	 GA 31064			
Jeff Davis High School	156 Collins Street	Hazlehurst	 GA 31539			
Jefferson County High School	1157 Warrior Trail	Louisville	 GA 30434			
Jefferson High School	575 Washington St.	Jefferson	 GA 30549			
Jefferson High School	575 Washington St.	Jefferson	 GA 30549			
Jenkins County High School	433 Barney Avenue	Millen	 Ga 30442			
Johnson County High School	150 Trojan Way	Wrightsville	 Georgia 31096			
Johnson High School	3012 Sunset Blvd	Savannah	 GA 31404			
Johnson High School	3305 Poplar Springs Road	Gainesville	 GA 30507			
Jones County High School	339 Railroad Street	Gray	 GA 31032			
Jonesboro High School	7728 Mount Zion Boulevard	Jonesboro	 GA 30236			
Jordan Vocational High School	3200 Howard Avenue	Columbus	 GA 31904			
Kell High School	4770 Lee Waters Road NE	Marietta	 GA 30066			
Kendrick High School	6015 Georgetown Drive	Columbus	 GA 31907			
Kennesaw Mountain High School	1898 Kennesaw Due West Road	Kennesaw	 GA 30101			
Lafayette High School	100 Rambler Drive	LaFayette	 GA 30728			
Lagrange High School	516 North Greenwood Street	Lagrange	 GA 30240			
Lakeside High School	533 Blue Ridge Drive	Evans	 GA 30809			
Lakeside High School	3801 Briarcliff Road	 NE	Atlanta	 GA 30345		
Lakeview Fort Oglethorpe High School	1850 Battlefield Parkway	Fort Oglethorpe	 GA 30742			
Lamar County High School	One Trojan Way	Barnesville	 GA 30204			
Lanier Career Academy	2723 Tumbling Creek Road	Gainesville	 GA 30504			
Lanier County High School	325 W. Patten Street	Lakeland	 GA 31635			
Lanier High School	918 Buford Highway	Sugar Hill	30518			
Lassiter High School	2601 Shallowford Road	Marietta	 GA 30066			
Lee County High School	One Trojan Way	Leesburg	 GA 31763			
Liberty County High School	3216 East Oglethorpe Highway	Hinesville	 GA 31313			
Lincoln County High School	345 Ward Avenue	Lincolnton	 GA 30817			
Macon County High School	611 Vienna Road		Montezuma	 GA 31063		
Madison County High School	600 Madison Street	Danielsville	 GA 30633			
Manchester High School	405 N 5th Ave	Manchester	 GA 31816			
Margaret Harris High School	1634 Knob Hill Drive	Atlanta	 GA 30329			
Marietta High School	1171 Whitlock Avenue	Marietta	 GA 30064			
Martin Luther King Jr High School	3991 Snapfinger Road	Decatur	 GA 30038			
Mary Persons High School	300 Montpelier Ave	Forsyth	 GA 31029			
Maxwell High School of Technology	990 McElvaney Lane	Lawrenceville	 GA 30044			
Mays High School	3450 Mays Drive	 SW	Atlanta	 GA 30311		
McEachern High School	2400 New Macland Road	Powder Springs	 GA 30127			
McIntosh High School	201 Walt Banks Rd.	Peachtree City	 GA 30269			
McNair High School	1804 Bouldercrest Road	 SE	Atlanta	 GA 30316		
Meadowcreek High School	4455 Steve Reynolds Blvd.	Norcross	 Georgia 30093			
Metter High School	34905 Hwy 129 South	Metter	 GA 30439			
Mill Creek High School	4400 Braselton Highway 124	Hoschton	 GA 30548-1621			
Miller County High School	96 Perry Drive	Colquitt	 GA 39837			
Miller Grove High School	2645 Dekalb Medical Parkway	Lithonia	 Georgia 30058			
Milton High School	86 School Drive	Alpharetta	 GA 30004			
Mitchell-Baker High School	1000 Newton Road	Camilla	 GA 31730			
Model High School	3252 Calhoun Hwy	Rome	 GA 30161			
Monroe Area High School	300 Double Springs Church Rd.	Monroe	 GA 30656			
Monroe High School	900 Lippitt Drive	Albany	 GA 31701			
Montgomery Co. High	701 Dobbins St.	Mount Vernon	 GA 30445			
Morgan County High School	1231 College Drive	Madison	 GA 30650			
Morrow High School	2299 Old Rex Morrow Road	Morrow	 GA 30260			
Mount Zion High School	2535 Mount Zion Parkway	Jonesboro	 GA 30236			
Mount Zion High School	132 Eagle Drive	Mount Zion	 GA 30150			
Mountain Education Center	123 Mountain View Drive	Dahlonega	 GA 30533			
Mundy's Mill High School	9652 Fayetteville Rd.	Jonesboro	 GA 30238			
Murray County High School	1001 Green Road	Chatsworth	 GA 30705			
Newnan High School	190 Lagrange Street	Newnan	 GA 30263			
Newton High School	140 Ram Drive	Covington	 GA 30014			
Norcross High School	140 Ram Drive	Covington	 GA 30014			
North Atlanta High School	2875 Northside Drive	 NW	Atlanta	 GA 30305		
North Clayton High School	1525 Norman Drive	College Park	 GA 30349			
North Cobb High School	3400 Old Highway 41	Kennesaw	 GA 30144			
North Forsyth High School	3635 Coal Mountain Drive	Cumming	 GA 30040			
North Gwinnett High School	20 Level Creek Road	Suwanee	 GA 30024			
North Hall High School	4885 Mount Vernon Road	Gainesville	 GA 30506			
North Oconee High School	1081 Rocky Branch Road	Bogart	 GA 30622			
North Springs High School	7447 Roswell Road	Atlanta	 GA 30328			
Northeast Campus Tift County High School	3021 Fulwood Road	Tifton	 GA 31794			
Northeast High School	1646 Upper River Road	Macon	 GA 31211			
Northgate High School	3220 Fischer Road	Newnan	 GA 30265			
Northside High School	2002 American Way	Columbus	 GA 31909			
Northside High School	926 Green Street	Warner Robins	 GA 31093			
Northview High School	10625 Parsons Road	Duluth	 GA 30097			
Northwest Whitfield County High School	1651 Tunnel Hill-Varnell Road	Tunnel Hill	 GA 30755			
Oakwood High School	1560 Joyner Ave SE	Marietta	 GA 30060			
Oconee county High School	2721 Hog Mountain Road	Watkinsville	 GA 30677			
Oglethorpe County High School	749 Athens Road	Lexington	 GA 30648			
Open Campus High School	2415 North Druid Hills Road	 N	Atlanta	 GA 30329		
Open Campus High School	225 E. College Street	Bowdon	 GA 30108			
Pace Academy	966 West Paces Ferry Rd NW	Atlanta	 GA 30327			
Parkview High School	998 Cole Drive	Lilburn	 GA 30047			
Patrick Henry High School	109 Lee Street	Stockbridge	 GA 30281			
Paulding County High School	1297 Villa Rica Highway	Dallas	 GA 30157			
Peach County High School	900 Campus Drive	Fort Valley	 GA 31030			
Peachtree Ridge High School	1555 Old Peachtree Road	Suwanee	 GA 30024			
Pebblebrook High School	991 Old Alabama Road	Mableton	 GA 30059			
Pelham High School	203 Mathewson Ave SW	Pelham	 GA 31779			
Pepperell High School	3 Dragon Drive	 SE	Lindale	 GA 30147		
Perry High School	1307 North Avenue	Perry	 GA 31069			
Phoenix High School	2818 Airport Road	Dalton	 GA 30720			
Phoenix High School	501 Pike Street	Lawrenceville	 GA 30045			
Pickens High School	500 Dragon Drive	Jasper	 Georgia 30143			
Pierce County High School	4850 County Farm Road	Blackshear	 GA 31516			
Pike County High School	331 Pirate Drive	Zebulon	 GA 30295			
Polaris Evening School	2010 Towne Lake Hills S Drive	Woodstock	 GA 30189			
Portal Middle/High School	27245 Highway 80 West	Portal	 GA 30450			
Putnam County High School	140 Sparta Highway	Eatonton	 GA 31024			
R.L. Osborne High School	2451 Favor Road	Marietta	 GA 30060			
Rabun County High School	230 Wildcat Hill Drive	Tiger	 GA 30576			
Randolf Clay High School	3451 GA Hwy 266	Cuthbert	 GA 39840			
Redan High School	5247 Redan Road	Stone Mountain	 GA 30088			
Regional Evening Alternative School	441 Gordon Street	Jefferson	 GA 30549			
Renaissance Academy	1065 Anthony Rd	Macon	 GA 31204			
Richmond Hill High School	One Wildcat Drive	Richmond Hill	 GA 31324			
Ridgeland High School	2478 Happy Valley Road	Rossville	 GA 30741			
Ringgold High School	29 Tiger Trail	Ringgold	 GA 30736			
Riverdale High School	160 Roberts Drive	Riverdale	 GA 30274			
Riverwood High School	5900 Heards Drive	 NW	Atlanta	 GA 30328		
Rockdale County High School	1174 Bulldog Circle	Conyers	 GA 30012			
Rockmart High School	990 Cartersville Highway	Rockmart	 GA 30153			
Rome High School	1000 Veteran's Memorial Highway	Rome	 GA 30161			
Roswell High School	11595 King Road	Roswell	 GA 30075			
Rutland High School	6250 Skipper Road	Macon	 GA 31216			
Salem High School	3551 Underwood Road	Conyers	 GA 30013			
Sandy Creek High School	360 Jenkins Road	Tyrone	 GA 30290			
Savannah Arts Academy	500 Washington Avenue	Savannah	 GA 31405			
Savannah Corporate Academy	5717 White Bluff Road - Trailer 1A	Savannah	 GA 31405			
Savannah High School	400 Pennsylvania Avenue	Savannah	 GA 31404			
Schley Middle High School	2131 Highway 19 South	Ellaville	 GA 31806			
School for Integrated Academics and Technologies	239 West Lake Avenue	 NW	Atlanta	 GA 30314		
Screven County High School	110 Halcyondale Road	Sylvania	 Georgia 30467			
Seminole County High School	5582 Hwy 39 South	Donalsonville	 GA 31745			
Sequoyah High School	4485 Hickory Road	Canton	 GA 30115			
Shaw High School	4485 Hickory Road	Canton	 GA 30115			
Shaw High School	7601 Schomburg Road	Columbus	 GA 31909			
Shiloh High School	4210 Shiloh Road	Snellville	 GA 30039			
Social Circle High School	154 Alcova Drive	Social Circle	 GA 30025			
Sonarville High School	7340 Fairmount Highway SE	Calhoun	 GA 30701			
South Atlanta High School	800 Hutchens Road	 SE	Atlanta	 GA 30354		
South Cobb High School	1920 Clay Road	Austell	 GA 30001			
South Effingham High School	1220 Noel C. Conaway Road	Guyton	 GA 31312			
South Forsyth High School	585 Peachtree Parkway	Cumming	 GA 30041			
South Gwinnett High School	2288 East Main Street	Snellville	 GA 30078			
Southeast Bulloch High School	9184 Brooklet/Denmark Highway	Brooklet	 GA 30415			
Southeast High School	1070 Anthony Rd.	Macon	 GA 31204			
Southeast Whitfield County High School	1954 Riverbend Road	 SE	Dalton	 GA 30721		
Southside High School	801 Glenwood Avenue	 SE	Atlanta	 GA 30312		
Southside Performance Learning Center	1410 I Street	Jackson Complex				
Southwest Dekalb High School	2863 Kelley Chapel Road	Decatur	 GA 30034			
Southwest Georgia Academy	14105 S. R 200	Damascus	 GA 39841			
Southwest High School	1730 Canterbury Road	Macon	 GA 31206			
Spalding High School	433 Wilson Road	Griffin	 GA 30224			
Spencer High School	4340 Victory Dr	Columbus	 GA 31903			
Sprayberry High School	2525 Sandy Plains Road	Marietta	 GA 30066			
Starrs Mill High School	193 Panther Path	Fayetteville	 GA 30215			
Statesboro High School	10 Lester Road	Statesboro	 GA 30458			
Stephens County High School	6438 White Pine Road	Toccoa	 GA 30577			
Stephenson High School	701 Stephenson Road	Stone Mountain	 GA 30087			
Stewart-Quitman High School	774 Chestnut St		Lumpkin	 GA 31815		
Stockbridge High School	1151 Old Conyers Road	Stockbridge	 GA 30281			
Stone Mountain High School	4555 Central Drive	Stone Mountain	 GA 30083			
Swainsboro High School	689 S. Main St.	Swainsboro	 GA 30401			
T.W. Josey Comprehensive High School	1701 15th Street	Augusta	 GA 30901			
Tattnall County High School	#1 Battle Creek Warrior Blvd.	Reidsville	 GA 30453			
Taylor County High School	200 Oak Street	Butler	 GA 31006			
Tech High Charter School	1043 Memorial Drive	Atlanta	 GA 30316			
Telfair County High School	1900 South Third Avenue		McRae	 GA 31055		
Temple High School	589 Sage Street	Temple	 Georgia 30179			
Therrell High School	3099 Panther Trail	 SW	Atlanta	 GA 30311		
Thomas County Central High School	4685 U.S. 84 Bypass	Thomasville	 GA 31792			
Thomasville High School	315 South Hansell Street	Thomasville	 GA 31792			
Thomson High School	1160 Whiteoak Road	Thomson	 GA 30824			
Tift County High School	One Blue Devil Way	Tifton	 GA 31794			
Union County High School	604 Panther Circle	Blairsville	 Georgia 30512			
Union Grove High School	120 East Lake Road	McDonough	 GA 30252			
Upson-Lee High School	268 Knight Trail	Thomaston	 GA 30286			
Valdosta High School	3101 North Forrest Street	Valdosta	 GA 31602			
Vidalia High School	1001 North St.	Vidalia	 GA 30474			
Villa Rica High School	600 Rocky Branch Road	Villa Rica	 GA 30180			
Walton High School	1590 Bill Murdock Road	Marietta	 GA 30062			
Ware County High School	700 Victory Drive	Waycross	 GA 31503-8856			
Warner Robins High School	401 South Davis Drive	Warner Robins	 GA 31088			
Warren County High School	1253 Atlanta Highway	Warrenton	 GA 30828			
Washington County High School	420 Riddleville Road	Sandersville	 GA 31082			
Washington High School	45 White House Drive	 S.W.	Atlanta	 Georgia 30314		
Washington-Wilkes High School	304 Gordon Street	Washington	 GA 30673			
Wayne County High School	One Jacket Drive	Jesup	 GA 31545			
West End Academy	1325 R. D. Abernathy Boulevard	Atlanta	 GA 30311			
West Hall High School	5500 McEver Road	Oakwood	 GA 30566			
West Laurens High School	338 West Laurens School Road		Dublin	 Georgia 31021		
Westlake High School	2370 Union Road	 SW	Atlanta	 GA 30331		
Westover High School	2600 Partridge Drive	Albany	 GA 31707			
Westside High School	2851 Heath Road	Macon	 GA 31206			
Westside High School	1002 Patriots Way	Augusta	 GA 30907			
Wheeler High School	375 Holt Road	Marietta	 GA 30068			
White County High School	2600 Highway 129 North	Cleveland	 GA 30528			
Whitewater High School	100 Wildcat Way	Fayetteville	 GA 30215			
Wilcox County High School	186 Seventh Avenue	Rochelle	 GA 31079			
Wilkinson County High School	P.O. Box 547		11481 Hwy 57			
William H. Spencer High School	4340 Victory Drive	Columbus	 GA 31903			
Winder-Barrow High School	272 North Fifth Avenue	Winder	 GA 30680			
