High School Name,Code,State
KODIAK HIGH SCHOOL,20075,AK
METLAKATLA HIGH SCHOOL,20083,AK
MOUNT EDGECUMBE HIGH SCHOOL,20085,AK
BRISTOL BAY BOROUGH HIGH SCHOOL,20088,AK
BENNY BENSON SECONDARY SCHOOL,20091,AK
CANTWELL SCHOOL,20093,AK
NINILCHIK HIGH SCHOOL,20098,AK
NOME BELTZ HIGH SCHOOL,20100,AK
PALMER HIGH SCHOOL,20105,AK
DENA'INA SCHOOL,20109,AK
PETERSBURG HIGH SCHOOL,20110,AK
SEWARD JUNIOR SENIOR HIGH SCHOOL,20125,AK
SITKA HIGH SCHOOL,20130,AK
SOLDOTNA HIGH SCHOOL,20131,AK
COOK INLET ACADEMY,20132,AK
SUSITNA VALLEY HIGH SCHOOL,20136,AK
TOK SCHOOL,20138,AK
UNALASKA HIGH SCHOOL,20140,AK
TOGIAK SCHOOL,20143,AK
VALDEZ HIGH SCHOOL,20150,AK
WASILLA HIGH SCHOOL,20155,AK
WRANGELL HIGH SCHOOL,20160,AK
JAMES T HUTCHISON HIGH SCHOOL,20161,AK
SCAMMON BAY SCHOOL,20162,AK
HOUSTON HIGH SCHOOL,20178,AK
GRACE CHRISTIAN SCHOOL,20182,AK
RAVEN CORRESPONDENCE SCHOOL,20193,AK
KING COVE SCHOOL,20228,AK
TUKURNGAILNGUQ SCHOOL,20248,AK
NIKISKI JUNIOR SENIOR HIGH SCHOOL,20274,AK
BURCHELL HIGH SCHOOL,20283,AK
SKYVIEW HIGH SCHOOL,20285,AK
COLONY HIGH SCHOOL,20286,AK
THORNE BAY SCHOOL,20290,AK
MATANUSKA CHRISTIAN SCHOOL,20292,AK
SAVE HIGH SCHOOL,20297,AK
HOLY ROSARY ACADEMY,20298,AK
POLARIS K-12 SCHOOL,20312,AK
LUMEN CHRISTI HIGH SCHOOL,20317,AK
HOGARTH KINGEEKUK SENIOR MEMORIAL HIGH SCHOOL,20331,AK
FAMILY PARTNERSHIP CHARTER SCHOOL,20333,AK
ATHENEUM SCHOOL,20342,AK
FRONTIER CHARTER SCHOOL,20358,AK
SOUTH ANCHORAGE HIGH SCHOOL,20365,AK
EAGLE RIVER HIGH SCHOOL,20368,AK
THUNDER MOUNTAIN HIGH SCHOOL,20379,AK
APACHE JUNCTION HIGH SCHOOL,30003,AZ
AGUA FRIA HIGH SCHOOL,30007,AZ
LA JOYA COMMUNITY HIGH SCHOOL,30008,AZ
LIBERTY HIGH SCHOOL,30009,AZ
BENSON UNION HIGH SCHOOL,30015,AZ
BISBEE HIGH SCHOOL,30020,AZ
CANYON STATE ACADEMY,30028,AZ
BUCKEYE UNION HIGH SCHOOL,30030,AZ
MOHAVE HIGH SCHOOL,30032,AZ
PRIMAVERA ONLINE HIGH SCHOOL,30033,AZ
RAYMOND S KELLIS HIGH SCHOOL,30034,AZ
CAMP VERDE HIGH SCHOOL,30035,AZ
BASHA HIGH SCHOOL,30037,AZ
FOOTHILLS ACADEMY,30039,AZ
CASA GRANDE UNION HIGH SCHOOL,30040,AZ
CACTUS SHADOWS HIGH SCHOOL,30043,AZ
CHANDLER HIGH SCHOOL,30045,AZ
SETON CATHOLIC PREPARATORY HIGH SCHOOL,30047,AZ
MINGUS UNION HIGH SCHOOL,30050,AZ
ROCK POINT COMMUNITY SCHOOL,30051,AZ
CHINO VALLEY HIGH SCHOOL,30053,AZ
HORIZON CLC HONORS,30054,AZ
COOLIDGE HIGH SCHOOL,30060,AZ
HAMILTON HIGH SCHOOL,30062,AZ
BRADSHAW MOUNTAIN HIGH SCHOOL,30071,AZ
DOUGLAS HIGH SCHOOL,30075,AZ
ROUND VALLEY HIGH SCHOOL,30090,AZ
VALLEY UNION HIGH SCHOOL,30095,AZ
COCONINO HIGH SCHOOL,30103,AZ
FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,30104,AZ
FLAGSTAFF HIGH SCHOOL,30105,AZ
SINAGUA HIGH SCHOOL,30107,AZ
FLORENCE HIGH SCHOOL,30110,AZ
NORTHLAND PREPARATORY ACADEMY,30111,AZ
WINDOW ROCK HIGH SCHOOL,30117,AZ
FOUNTAIN HILLS HIGH SCHOOL,30124,AZ
GILA BEND HIGH SCHOOL,30135,AZ
GILBERT HIGH SCHOOL,30140,AZ
HIGHLAND HIGH SCHOOL,30141,AZ
APOLLO HIGH SCHOOL,30143,AZ
DEER VALLEY HIGH SCHOOL,30144,AZ
GLENDALE HIGH SCHOOL,30145,AZ
INDEPENDENCE HIGH SCHOOL,30146,AZ
MOUNTAIN RIDGE HIGH SCHOOL,30153,AZ
MESQUITE HIGH SCHOOL,30157,AZ
GILBERT CHRISTIAN HIGH SCHOOL,30158,AZ
MILLENNIUM HIGH SCHOOL,30159,AZ
GRAND CANYON HIGH SCHOOL,30160,AZ
NORTH POINTE PREPARATORY,30162,AZ
HIGLEY HIGH SCHOOL,30163,AZ
HAYDEN HIGH SCHOOL,30165,AZ
HOLBROOK HIGH SCHOOL,30170,AZ
ESTRELLA FOOTHILLS HIGH SCHOOL,30172,AZ
SANDRA DAY OCONNOR HIGH SCHOOL,30173,AZ
JOSEPH CITY HIGH SCHOOL,30174,AZ
KINGMAN HIGH SCHOOL,30180,AZ
LAKE HAVASU HIGH SCHOOL,30183,AZ
BLUE RIDGE HIGH SCHOOL,30185,AZ
CESAR CHAVEZ HIGH SCHOOL,30192,AZ
DESERT EDGE HIGH SCHOOL,30194,AZ
MARANA HIGH SCHOOL,30200,AZ
MARICOPA HIGH SCHOOL,30202,AZ
ORME SCHOOL,30210,AZ
DOBSON HIGH SCHOOL,30216,AZ
MESA HIGH SCHOOL,30220,AZ
RED MOUNTAIN HIGH SCHOOL,30221,AZ
WESTWOOD HIGH SCHOOL,30223,AZ
MOUNTAIN VIEW HIGH SCHOOL,30224,AZ
PINNACLE CHARTER HS-MESA,30227,AZ
RIVER VALLEY HIGH SCHOOL,30228,AZ
MORENCI HIGH SCHOOL,30230,AZ
HERITAGE ACADEMY,30231,AZ
NOGALES HIGH SCHOOL,30235,AZ
LOURDES COLLEGE PREPARATORY HIGH SCHOOL,30236,AZ
PAGE HIGH SCHOOL,30239,AZ
EAST VALLEY ACADEMY,30244,AZ
PARKER HIGH SCHOOL,30245,AZ
REDEEMER CHRISTIAN SCHOOL,30246,AZ
SUNRISE MOUNTAIN HIGH SCHOOL,30254,AZ
PAYSON HIGH SCHOOL,30255,AZ
