High School Name,Code,State
SANTA CLARA HIGH SCHOOL,53280,CA
NEW ROADS SCHOOL,53287,CA
CORNERSTONE CHRISTIAN SCHOOL,53288,CA
GEORGIANA BRUCE KIRBY PREPARATORY SCHOOL,53290,CA
HARBOR HIGH SCHOOL,53293,CA
SANTA CRUZ HIGH SCHOOL,53297,CA
SANTA FE HIGH SCHOOL,53300,CA
DELTA HIGH SCHOOL,53302,CA
ERNEST RIGHETTI HIGH SCHOOL,53303,CA
SAINT JOSEPH HIGH SCHOOL,53304,CA
SANTA MARIA HIGH SCHOOL,53305,CA
CROSSROADS SCHOOL,53307,CA
SAINT MONICA CATHOLIC HIGH SCHOOL,53310,CA
ELSIE ALLEN HIGH SCHOOL,53316,CA
SANTA MONICA HIGH SCHOOL,53320,CA
WINDWARD SCHOOL,53323,CA
RINCON VALLEY CHRISTIAN SCHOOL,53324,CA
SANTA PAULA HIGH SCHOOL,53325,CA
CARDINAL NEWMAN HIGH SCHOOL,53326,CA
MONTGOMERY HIGH SCHOOL,53328,CA
PINER HIGH SCHOOL,53329,CA
SANTA ROSA HIGH SCHOOL,53330,CA
SAUGUS HIGH SCHOOL,53336,CA
VALLEY CHRISTIAN HIGH SCHOOL,53338,CA
CHAPARRAL HIGH SCHOOL,53339,CA
SANTA YNEZ VALLEY UNION HIGH SCHOOL,53340,CA
CANYON HIGH SCHOOL,53341,CA
SANTANA HIGH SCHOOL,53342,CA
SARATOGA HIGH SCHOOL,53343,CA
PROSPECT HIGH SCHOOL,53344,CA
ANALY HIGH SCHOOL,53345,CA
NONE SUCH SCHOOL,53348,CA
SUMMERFIELD WALDORF SCHOOL,53349,CA
SELMA HIGH SCHOOL,53350,CA
HERITAGE CHRISTIAN SCHOOL,53358,CA
SHAFTER HIGH SCHOOL,53360,CA
NOTRE DAME HIGH SCHOOL,53370,CA
SANTA SUSANA HIGH SCHOOL,53372,CA
PONDEROSA HIGH SCHOOL,53373,CA
ALVERNO HIGH SCHOOL,53378,CA
ROYAL HIGH SCHOOL,53379,CA
SIMI VALLEY HIGH SCHOOL,53380,CA
WEST HILLS HIGH SCHOOL,53381,CA
GRACE BRETHREN HIGH SCHOOL,53383,CA
MARIA CARRILLO HIGH SCHOOL,53386,CA
SONOMA VALLEY HIGH SCHOOL,53390,CA
SONORA HIGH SCHOOL,53395,CA
SOQUEL HIGH SCHOOL,53398,CA
SOUTH GATE HIGH SCHOOL,53400,CA
SONOMA VALLEY ACADEMY,53403,CA
SOUTH EL MONTE HIGH SCHOOL,53404,CA
SOUTH PASADENA HIGH SCHOOL,53410,CA
EL CAMINO HIGH,53413,CA
SOUTH SAN FRANCISCO HIGH SCHOOL,53415,CA
MONTE VISTA HIGH SCHOOL,53416,CA
MOUNT MIGUEL HIGH SCHOOL,53417,CA
EDISON SENIOR HIGH SCHOOL,53420,CA
FRANKLIN HIGH SCHOOL,53425,CA
LINCOLN HIGH SCHOOL,53430,CA
BROOKSIDE CHRISTIAN HIGH SCHOOL,53431,CA
SAINT MARYS HIGH SCHOOL,53435,CA
BEAR CREEK HIGH SCHOOL,53436,CA
AMOS ALONZO STAGG HIGH SCHOOL,53442,CA
MORENO VALLEY HIGH SCHOOL,53459,CA
FREMONT HIGH SCHOOL,53460,CA
HOMESTEAD HIGH SCHOOL,53462,CA
LYNBROOK HIGH SCHOOL,53463,CA
MONTA VISTA HIGH SCHOOL,53466,CA
JOHN H FRANCIS POLYTECH MATH SCI & TECH MAGNET HS,53467,CA
VILLAGE CHRISTIAN HIGH SCHOOL,53468,CA
LASSEN HIGH SCHOOL,53470,CA
SUTTER HIGH SCHOOL,53475,CA
AMADOR HIGH SCHOOL,53480,CA
DEVELOPING VIRTUE SECONDARY SCHOOL,53483,CA
TAFT UNION HIGH SCHOOL,53485,CA
MONTCLAIR COLLEGE PREP SCHOOL,53488,CA
TEHACHAPI HIGH SCHOOL,53490,CA
TEMPLE CITY HIGH SCHOOL,53495,CA
TEMECULA VALLEY HIGH SCHOOL,53499,CA
TEMPLETON HIGH SCHOOL,53500,CA
LA REINA HIGH SCHOOL,53501,CA
THOUSAND OAKS HIGH SCHOOL,53502,CA
WESTLAKE HIGH SCHOOL,53503,CA
HILLCREST CHRISTIAN SCHOOL,53504,CA
TOMALES HIGH SCHOOL,53510,CA
BISHOP MONTGOMERY HIGH SCHOOL,53512,CA
CARSON HIGH SCHOOL,53515,CA
NORTH HIGH SCHOOL,53520,CA
WEST HIGH SCHOOL,53521,CA
SOUTH HIGH SCHOOL,53522,CA
TORRANCE HIGH SCHOOL,53523,CA
TRACY JOINT UNION HIGH SCHOOL,53525,CA
MERRILL F WEST HIGH SCHOOL,53532,CA
VANDEN HIGH SCHOOL,53533,CA
TRONA HIGH SCHOOL,53535,CA
NORTH TAHOE HIGH SCHOOL,53537,CA
CHAPARRAL HIGH SCHOOL,53539,CA
TAHOE TRUCKEE HIGH SCHOOL,53540,CA
VERDUGO HILLS HIGH SCHOOL,53545,CA
TULARE UNION HIGH SCHOOL,53550,CA
TULARE WESTERN HIGH SCHOOL,53552,CA
TULELAKE HIGH SCHOOL,53555,CA
SOLEDAD HIGH SCHOOL,53557,CA
SUMMERVILLE UNION HIGH SCHOOL,53560,CA
ROSELAWN CONTINUATION HIGH SCHOOL,53563,CA
TURLOCK CHRISTIAN HIGH SCHOOL,53564,CA
TURLOCK HIGH SCHOOL,53565,CA
TUSTIN HIGH SCHOOL,53570,CA
PACIFIC COAST HIGH SCHOOL,53571,CA
TWENTYNINE PALMS HIGH SCHOOL,53575,CA
WEBER INSTITUTE OF APPLIED SCIENCE AND TECHNOLOGY,53579,CA
UKIAH HIGH SCHOOL,53580,CA
UPLAND HIGH SCHOOL,53586,CA
UPPER LAKE HIGH SCHOOL,53590,CA
VACAVILLE CHRISTIAN HIGH SCHOOL,53593,CA
VACAVILLE HIGH SCHOOL,53595,CA
ELISE P BUCKINGHAM CHARTER SCHOOL,53596,CA
WILL C WOOD HIGH SCHOOL,53597,CA
SCOTTS VALLEY HIGH SCHOOL,53598,CA
MIDDLE COLLEGE HIGH SCHOOL,53599,CA
NORTH HILLS CHRISTIAN SCHOOL,53602,CA
SAINT PATRICK-SAINT VINCENT HIGH SCHOOL,53604,CA
VALENCIA HIGH SCHOOL,53608,CA
NORTHCOAST PREPARATORY AND PERFORMING ARTS ACADEMY,53609,CA
VALLEJO SENIOR HIGH SCHOOL,53610,CA
STEELE CANYON HIGH SCHOOL,53613,CA
BIRMINGHAM COMMUNITY HIGH SCHOOL,53615,CA
CROSSROADS SCHOOL,53616,CA
ORCHARD VIEW SCHOOL,53624,CA
SONOMA ACADEMY,53626,CA
SAN YSIDRO HIGH SCHOOL,53628,CA
SAINT GENEVIEVE HIGH SCHOOL,53631,CA
ULYSSES S GRANT HIGH SCHOOL,53633,CA
VAN NUYS HIGH SCHOOL,53635,CA
TEMECULA PREPARATORY SCHOOL,53643,CA
JOHN H PITMAN HIGH SCHOOL,53644,CA
VALLEY HIGH SCHOOL AND LEARNING CENTER INC,53646,CA
BUENA HIGH SCHOOL,53647,CA
EL CAMINO HIGH SCHOOL,53648,CA
SAINT BONAVENTURE HIGH SCHOOL,53650,CA
SAINT AUGUSTINE ACADEMY,53654,CA
VENTURA HIGH SCHOOL,53655,CA
VICTOR VALLEY CHRISTIAN SCHOOL,53659,CA
VICTOR VALLEY HIGH SCHOOL,53660,CA
CENTRAL VALLEY CHRISTIAN HIGH SCHOOL,53661,CA
GOLDEN WEST HIGH SCHOOL,53662,CA
REDWOOD HIGH SCHOOL,53665,CA
SEQUOIA HIGH SCHOOL,53667,CA
RANCHO BUENA VISTA HIGH SCHOOL,53668,CA
MOUNT WHITNEY HIGH SCHOOL,53670,CA
VISTA HIGH SCHOOL,53675,CA
WALNUT HIGH SCHOOL,53676,CA
LAS LOMAS HIGH SCHOOL,53680,CA
SILVERADO HIGH SCHOOL,53682,CA
BEREAN CHRISTIAN HIGH SCHOOL,53683,CA
WASCO UNION HIGH SCHOOL,53685,CA
EXCELSIOR EDUCATION CENTER,53686,CA
JESSE M BETHEL HIGH SCHOOL,53690,CA
FOOTHILL TECHNOLOGY HIGH SCHOOL,53691,CA
VALLEY CENTER HIGH SCHOOL,53695,CA
EL DIAMANTE HIGH SCHOOL,53699,CA
WATERFORD HIGH SCHOOL,53704,CA
MONTE VISTA CHRISTIAN HIGH SCHOOL,53705,CA
CONNECTING WATERS CHARTER SCHOOL,53706,CA
MOUNT MADONNA SCHOOL,53711,CA
ST FRANCIS CENTRAL COAST CATHOLIC HIGH SCHOOL,53716,CA
WATSONVILLE HIGH SCHOOL,53722,CA
TRINITY HIGH SCHOOL,53725,CA
DELTA CHARTER HIGH SCHOOL,53728,CA
WEED HIGH SCHOOL,53730,CA
LA QUINTA HIGH SCHOOL,53737,CA
WEST COVINA HIGH SCHOOL,53738,CA
WESTMINSTER HIGH SCHOOL,53739,CA
RIVER CITY HIGH SCHOOL,53740,CA
OAKS CHRISTIAN HIGH SCHOOL,53746,CA
HARBOR TEACHER PREPARATORY ACADEMY,53747,CA
NEW COMMUNITY JEWISH HIGH SCHOOL,53748,CA
WHEATLAND UNION HIGH SCHOOL,53750,CA
CALIFORNIA HIGH SCHOOL,53755,CA
LA SERNA HIGH SCHOOL,53756,CA
PIONEER HIGH SCHOOL,53760,CA
SAINT PAUL HIGH SCHOOL,53761,CA
SIERRA VISTA HIGH SCHOOL,53762,CA
WHITTIER CHRISTIAN HIGH SCHOOL,53763,CA
WHITTIER HIGH SCHOOL,53765,CA
WILLIAMS HIGH SCHOOL,53770,CA
WILLITS HIGH SCHOOL,53775,CA
WILLITS CHARTER SCHOOL,53776,CA
WILLOWS HIGH SCHOOL,53780,CA
PHINEAS BANNING HIGH SCHOOL,53785,CA
WILTON CHRISTIAN SCHOOL,53786,CA
WINDSOR HIGH SCHOOL,53787,CA
SAN PASQUAL VALLEY HIGH SCHOOL,53788,CA
WINTERS HIGH SCHOOL,53790,CA
WARNER HIGH SCHOOL,53792,CA
WOODLAKE HIGH SCHOOL,53795,CA
WOODLAND HIGH SCHOOL,53800,CA
EL CAMINO REAL CHARTER HIGH SCHOOL,53801,CA
LOUISVILLE HIGH SCHOOL,53802,CA
WILLIAM HOWARD TAFT HIGH SCHOOL,53806,CA
WOODSIDE HIGH SCHOOL,53808,CA
REKA HIGH SCHOOL,53810,CA
YUBA CITY HIGH SCHOOL,53815,CA
YUCCA VALLEY HIGH SCHOOL,53818,CA
YUCAIPA SENIOR HIGH SCHOOL,53820,CA
MARE ISLAND TECHNOLOGY ACADEMY,53833,CA
REDWOOD ACADEMY OF UKIAH,53837,CA
WESTON RANCH HIGH SCHOOL,53839,CA
BENJAMIN HOLT COLLEGE PREPARATORY ACADEMY,53843,CA
CYPRESS CHARTER HIGH SCHOOL,53845,CA
PIONEER VALLEY HIGH SCHOOL,53847,CA
TECHNOLOGY HIGH SCHOOL,53849,CA
WOODLAND CHRISTIAN HIGH SCHOOL,53850,CA
CESAR E CHAVEZ HIGH SCHOOL,53853,CA
WILMER AMINA CARTER HIGH SCHOOL,53855,CA
PIONEER HIGH SCHOOL,53861,CA
WEST RANCH HIGH SCHOOL,53864,CA
MISSION HILLS HIGH SCHOOL,53868,CA
FUSION ACADEMY,53869,CA
GOLDEN VALLEY HIGH SCHOOL,53871,CA
BRADSHAW CHRISTIAN SCHOOL,53877,CA
SUMMIT PREPARATORY HIGH SCHOOL,53878,CA
NORTHRIDGE ACADEMY HIGH SCHOOL,53879,CA
GREAT OAK HIGH SCHOOL,53880,CA
JUNE JORDAN SCHOOL FOR EQUITY,53884,CA
SAN DIEGO SCIENCE & TECHNOLOGY,53903,CA
VIEW PARK PREPARATORY HIGH SCHOOL,53904,CA
CHAWANAKEE ACADEMY,53905,CA
ANN SOBRATO HIGH SCHOOL,53906,CA
SAN DIEGO INTL STUDIES,53907,CA
SAN DIEGO MET,53909,CA
CRENSHAW ARTS/TECH CHARTER SCHOOL,53910,CA
UNIVERSITY PREPARATORY SCHOOL,53912,CA
THE MET SACRAMENTO HIGH SCHOOL,53916,CA
STELLAR SECONDARY CHARTER HIGH SCHOOL,53923,CA
PACIFIC COMMUNITY CHARTER HIGH SCHOOL,53924,CA
ACALARES CENTER FOR INDEPENDENT STUDY,53926,CA
ROSEMONT HIGH SCHOOL,53927,CA
NATIONAL UNIVERSITY VIRTUAL HIGH SCHOOL,53929,CA
WHITNEY HIGH SCHOOL,53937,CA
HIGH TECH HIGH INTERNATIONAL,53945,CA
PACIFIC LAW ACADEMY,53952,CA
PLEASANT GROVE HIGH SCHOOL,53953,CA
RONALD E MCNAIR HIGH SCHOOL,53958,CA
LEADERSHIP PUBLIC SCHOOLS,53961,CA
GOLDEN EAGLE CHARTER SCHOOL,53962,CA
RIVER VALLEY HIGH SCHOOL,53964,CA
CESAR CHAVEZ HIGH SCHOOL,53966,CA
LEADERSHIP PUBLIC SCHOOLS RICHMOND,53970,CA
OAKLAND MILITARY INSTITUTE COLLEGE PREPARATORY ACA,53972,CA
VISTAMAR SCHOOL,53973,CA
SANTEE EDUCATION COMPLEX,53974,CA
ANIMO SOUTH LOS ANGELES CHARTER HIGH SCHOOL,53975,CA
ORANGE COVE HIGH SCHOOL,53976,CA
CITRUS HILL HIGH SCHOOL,53978,CA
SOUTH EAST HIGH SCHOOL,53980,CA
ALLIANCE GERTZ-RESSLER HIGH SCHOOL,53983,CA
HEALTH PROFESSIONS HIGH SCHOOL,53984,CA
BAY SCHOOL OF SAN FRANCISCO,53985,CA
CENTRAL VALLEY HIGH SCHOOL,53988,CA
CAMINO NUEVO HIGH SCHOOL,53991,CA
SCHOOL OF ARTS AND ENTERPRISE,53993,CA
LAKESIDE HIGH SCHOOL,53995,CA
MAYWOOD ACADEMY HIGH SCHOOL,53998,CA
HERITAGE PEAK CHARTER SCHOOL,54000,CA
DESIGN SCIENCE HIGH SCHOOL,54003,CA
PACIFICA CHRISTIAN HIGH SCHOOL,54005,CA
GARDEN STREET ACADEMY,54006,CA
DESERT MIRAGE HIGH SCHOOL,54013,CA
VAUGHN NEXT CENTURY LEARNING CENTER,54015,CA
SEGERSTROM HIGH SCHOOL,54018,CA
MILLENNIUM HIGH SCHOOL,54020,CA
ROBERT FULTON COLLEGE PREP SCH,54030,CA
SIERRA CANYON SCHOOL,54038,CA
CITY ARTS AND TECH HIGH SCHOOL,54047,CA
ADAMS CITY HIGH SCHOOL,60000,CO
ALAMOSA HIGH SCHOOL,60025,CO
ANTONITO HIGH SCHOOL,60030,CO
RALSTON VALLEY HIGH SCHOOL,60051,CO
ARVADA SENIOR HIGH SCHOOL,60055,CO
ARVADA WEST HIGH SCHOOL,60057,CO
POMONA HIGH SCHOOL,60058,CO
ASPEN HIGH SCHOOL,60060,CO
HIGHLAND HIGH SCHOOL,60065,CO
EAGLECREST HIGH SCHOOL,60066,CO
AURORA CENTRAL HIGH SCHOOL,60070,CO
GATEWAY HIGH SCOOL,60071,CO
WILLIAM SMITH HIGH SCHOOL,60072,CO
WILLIAM C HINKLEY HIGH SCHOOL,60073,CO
PLATTE CANYON HIGH SCHOOL,60075,CO
OVERLAND HIGH SCHOOL,60076,CO
RANGEVIEW HIGH SCHOOL,60077,CO
BASALT HIGH SCHOOL,60080,CO
GRANDVIEW HIGH SCHOOL,60081,CO
REGIS JESUIT HIGH SCHOOL GIRLS DIVISION,60082,CO
BAYFIELD HIGH SCHOOL,60085,CO
CHEROKEE TRAIL HIGH SCHOOL,60086,CO
BENNETT SENIOR HIGH SCHOOL,60090,CO
BERTHOUD HIGH SCHOOL,60095,CO
GILPIN COUNTY HIGH SCHOOL,60104,CO
NEW VISTA HIGH SCHOOL,60112,CO
BOULDER HIGH SCHOOL,60115,CO
FAIRVIEW HIGH SCHOOL,60118,CO
SEPTEMBER HIGH SCHOOL,60122,CO
ARAPAHOE RIDGE HIGH SCHOOL,60126,CO
TEMPLE GRANDIN SCHOOL,60127,CO
MONARCH HIGH SCHOOL,60130,CO
BOULDER PREPARATORY HIGH SCHOOL,60132,CO
SUMMIT COUNTY HIGH SCHOOL,60135,CO
BRIGHTON COLLEGIATE HIGH SCHOOL,60143,CO
HORIZON HIGH SCHOOL,60144,CO
BRIGHTON HIGH SCHOOL,60145,CO
BROOMFIELD HIGH SCHOOL,60148,CO
BRUSH HIGH SCHOOL,60150,CO
STANDLEY LAKE HIGH SCHOOL,60151,CO
BUENA VISTA HIGH SCHOOL,60155,CO
JEFFERSON ACADEMY HIGH SCHOOL,60161,CO
LEGACY HIGH SCHOOL,60163,CO
BYERS HIGH SCHOOL,60165,CO
CALAHAN HIGH SCHOOL,60173,CO
CANON CITY SENIOR HIGH SCHOOL,60200,CO
LIFE SKILLS CENTER OF COLORADO SPRINGS,60206,CO
ROARING FORK HIGH SCHOOL,60210,CO
DANIEL C OAKES HIGH SCHOOL,60224,CO
DOUGLAS COUNTY HIGH SCHOOL,60225,CO
CEDAREDGE HIGH SCHOOL,60230,CO
CHEYENNE WELLS HIGH SCHOOL,60250,CO
CLASSICAL ACADEMY THE-TCA,60252,CO
DISCOVERY HIGH SCHOOL,60253,CO
PIKES PEAK CHRISTIAN SCHOOL,60254,CO
MESA RIDGE HIGH SCHOOL,60259,CO
ASPEN VALLEY HIGH SCHOOL,60262,CO
PLATEAU VALLEY HIGH SCHOOL,60265,CO
AIR ACADEMY HIGH SCHOOL,60266,CO
CHEYENNE MOUNTAIN HIGH SCHOOL,60268,CO
COLORADO SPRINGS CHRISTIAN SCHOOL,60269,CO
COLORADO SPRINGS SCHOOL,60271,CO
CORONADO HIGH SCHOOL,60273,CO
FOUNTAIN VALLEY SCHOOL,60275,CO
WILLIAM MITCHELL HIGH SCHOOL,60277,CO
HARRISON HIGH SCHOOL,60285,CO
LIBERTY HIGH SCHOOL,60287,CO
WILLIAM J PALMER HIGH SCHOOL,60288,CO
EVANGELICAL CHRISTIAN ACADEMY,60289,CO
SIERRA HIGH SCHOOL,60293,CO
RAMPART HIGH SCHOOL,60294,CO
ST. MARY'S HIGH SCHOOL,60295,CO
THOMAS B DOHERTY HIGH SCHOOL,60296,CO
ROY J WASSOH HIGH SCHOOL,60298,CO
WIDEFIELD HIGH SCHOOL,60299,CO
MONTEZUMA-CORTEZ HIGH SCHOOL,60305,CO
CONIFER HIGH SCHOOL,60311,CO
SAND CREEK HIGH SCHOOL,60314,CO
MOFFAT COUNTY HIGH SCHOOL,60315,CO
PINE CREEK HIGH SCHOOL,60316,CO
JAMES IRWIN CHARTER HIGH SCHOOL,60319,CO
CRESTED BUTTE COMMUNITY SCHOOL,60329,CO
DE BEQUE HIGH SCHOOL,60350,CO
DEL NORTE HIGH SCHOOL,60360,CO
DELTA HIGH SCHOOL,60365,CO
ABRAHAM LINCOLN HIGH SCHOOL,60367,CO
ALAMEDA HIGH SCHOOL,60370,CO
BELLEVIEW PREPARATORY SCHOOL,60385,CO
ENDEAVOR ACADEMY,60387,CO
COLORADO ACADEMY,60393,CO
DENVER CHRISTIAN HIGH SCHOOL,60395,CO
DENVER ACADEMY,60396,CO
EAST HIGH SCHOOL,60400,CO
DENVER WALDORF HIGH SCHOOL,60403,CO
EMILY GRIFFITH OPPORTUNITY SCHOOL,60405,CO
GEORGE WASHINGTON HIGH SCHOOL,60413,CO
FAITH CHRISTIAN ACADEMY,60414,CO
HOLY FAMILY HIGH SCHOOL,60415,CO
LUTHERAN HIGH SCHOOL,60417,CO
JOHN F KENNEDY HIGH SCHOOL,60418,CO
BISHOP MACHEBEUF HIGH SCHOOL,60419,CO
MANUAL HIGH SCHOOL,60420,CO
THORNTON HIGH SCHOOL,60425,CO
NORTH HIGH SCHOOL,60428,CO
NORTHGLENN HIGH SCHOOL,60429,CO
MONTBELLO HIGH SCHOOL,60432,CO
REGIS JESUIT HIGH SCHOOL BOYS DIVISION,60435,CO
DENVER JEWISH DAY SCHOOL,60436,CO
DENVER SCHOOL OF THE ARTS,60443,CO
SMOKY HILL HIGH SCHOOL,60452,CO
SOUTH HIGH SCHOOL,60455,CO
THOMAS JEFFERSON HIGH SCHOOL,60457,CO
WEST HIGH SCHOOL,60460,CO
ARRUPE JESUIT HIGH SCHOOL,60468,CO
CENTER FOR INTERNATIONAL STUDIES HIGH SCHOOL,60471,CO
DURANGO HIGH SCHOOL,60475,CO
EATON HIGH SCHOOL,60490,CO
ELBERT HIGH SCHOOL,60505,CO
ELIZABETH HIGH SCHOOL,60510,CO
CHERRY CREEK HIGH SHOOL,60515,CO
ENGLEWOOD HIGH SCHOOL,60525,CO
KENT DENVER SCHOOL,60530,CO
SAINT MARYS ACADEMY HIGH SCHOOL,60535,CO
SHERIDAN HIGH SCHOOL,60540,CO
ERIE HIGH SCHOOL,60545,CO
ESTES PARK HIGH SCHOOL,60550,CO
EVERGREEN SENIOR HIGH SCHOOL,60560,CO
SOUTH PARK HIGH SCHOOL,60565,CO
FLEMING HIGH SCHOOL,60575,CO
FLORENCE HIGH SCHOOL,60580,CO
HERITAGE CHRISTIAN ACADEMY,60585,CO
POUDRE HIGH SCHOOL,60587,CO
ROCKY MOUNTAIN HIGH SCHOOL,60588,CO
FORT COLLINS HIGH SCHOOL,60590,CO
RIDGEVIEW CLASSICAL SCHOOLS,60598,CO
J K MULLEN HIGH SCHOOL,60600,CO
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,60604,CO
FORT LUPTON HIGH SCHOOL,60605,CO
FOSSIL RIDGE HIGH SCHOOL,60606,CO
FORT MORGAN HIGH SCHOOL,60610,CO
FOUNTAIN-FORT CARSON HIGH SCHOOL,60615,CO
LORRAINE SECONDARY SCHOOL,60616,CO
FREDERICK MIDDLE-SENIOR HS,60625,CO
FRUITA MONUMENT HIGH SCHOOL,60630,CO
GLENWOOD SPRINGS HIGH SCHOOL,60665,CO
GOLDEN SENIOR HIGH SCHOOL,60670,CO
DEVELYN JR/SR HIGH SCHOOL,60671,CO
COMPASS MONTESSORI SECONDARY SCHOOL,60677,CO
MIDDLE PARK HIGH SCHOOL,60685,CO
CENTRAL HIGH SCHOOL,60690,CO
GRAND JUNCTION HIGH SCHOOL,60695,CO
GRAND VALLEY HIGH SCHOOL,60700,CO
COLORADO HERITAGE EDUCATION SCHOOL SYSTEM,60703,CO
UNIVERSITY SCHOOLS,60705,CO
UNION COLONY PREPARATORY SCHOOL,60706,CO
GREELEY CENTRAL HIGH SCHOOL,60710,CO
NORTHRIDGE HIGH SCHOOL,60711,CO
GREELEY WEST HIGH SCHOOL,60712,CO
PAWNEE SCHOOL-DISTRICT RE-12,60715,CO
FRONTIER ACADEMY,60717,CO
GUNNISON HIGH SCHOOL,60720,CO
HIGHLANDS RANCH HIGH SCHOOL,60742,CO
THUNDERRIDGE HIGH SCHOOL,60746,CO
MOUNTAIN VISTA HIGH SCHOOL,60747,CO
ROCK CANYON HIGH SCHOOL,60748,CO
HOTCHKISS HIGH SCHOOL,60770,CO
CLEAR CREEK HIGH SCHOOL,60785,CO
ROOSEVELT HIGH SCHOOL,60815,CO
KIOWA HIGH SCHOOL,60845,CO
CENTAURUS HIGH SCHOOL,60865,CO
ALEXANDER DAWSON SCHOOL,60867,CO
PEAK TO PEAK CHARTER SCHOOL,60869,CO
CENTAURI HIGH SCHOOL,60875,CO
LA JUNTA HIGH SCHOOL,60880,CO
GREEN MOUNTAIN CHRISTIAN ACADEMY,60881,CO
GREEN MOUNTAIN HIGH SCHOOL,60883,CO
LAKEWOOD HIGH SCHOOL,60885,CO
WARREN OCCUPATIONAL TECH CENTER,60897,CO
LAS ANIMAS HIGH SCHOOL,60905,CO
LA VETA JUNIOR-SENIOR HIGH SCHOOL,60910,CO
LAKE COUNTY HIGH SCHOOL,60915,CO
LIMON HIGH SCHOOL,60920,CO
DAKOTA RIDGE HIGH SCHOOL,60923,CO
CHATFIELD SENIOR HIGH SCHOOL,60926,CO
COLUMBINE HIGH SCHOOL,60927,CO
ARAPAHOE HIGH SCHOOL,60928,CO
HERITAGE HIGH SCHOOL,60929,CO
LITTLETON HIGH SCHOOL,60930,CO
COLLEGIATE ACADEMY OF COLORADO,60931,CO
LONGMONT HIGH SCHOOL,60935,CO
NIWOT HIGH SCHOOL,60937,CO
SKYLINE HIGH SCHOOL,60938,CO
LONGMONT CHRISTIAN SCHOOL,60942,CO
LOVELAND HIGH SCHOOL,60950,CO
MOUNTAIN VIEW HIGH SCHOOL,60951,CO
THOMPSON VALLEY HIGH SCHOOL,60952,CO
SILVER CREEK HIGH SCHOOL,60953,CO
LYONS HIGH SCHOOL,60955,CO
MANITOU SPRINGS HIGH SCHOOL,60970,CO
MANZANOLA JUNIOR SENIOR HIGH SCHOOL,60975,CO
MERINO HIGH SCHOOL,61000,CO
BATTLE MOUNTAIN HIGH SCHOOL,61010,CO
MONTROSE HIGH SCHOOL,61035,CO
LEWIS PALMER HIGH SCHOOL,61040,CO
BEAR CREEK HIGH SCHOOL,61043,CO
NEDERLAND HIGH SCHOOL,61055,CO
PRAIRIE HIGH SCHOOL,61070,CO
NORWOOD HIGH SCHOOL,61075,CO
OLATHE HIGH SCHOOL,61095,CO
CROWLEY COUNTY HIGH SCHOOL,61103,CO
LONE STAR HIGH SCHOOL,61110,CO
PAGOSA SPRINGS HIGH SCHOOL,61135,CO
PALISADE SENIOR HIGH SCHOOL,61140,CO
PAONIA HIGH SCHOOL,61145,CO
PONDEROSA HIGH SCHOOL,61151,CO
CHAPARRAL HIGH SCHOOL,61152,CO
PEYTON HIGH SCHOOL,61165,CO
FALCON HIGH SCHOOL,61167,CO
CENTENNIAL HIGH SCHOOL,61190,CO
CENTRAL HIGH SCHOOL,61195,CO
PUEBLO EAST HIGH SCHOOL,61197,CO
PUEBLO WEST HIGH SCHOOL,61203,CO
PUEBLO COUNTY HIGH SCHOOL,61205,CO
SOUTH HIGH SCHOOL,61207,CO
RIFLE HIGH SCHOOL,61230,CO
ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,61235,CO
SALIDA HIGH SCHOOL,61250,CO
SIMLA HIGH SCHOOL,61290,CO
HERITAGE CHRISTIAN SCHOOL,61308,CO
STEAMBOAT SPRINGS HIGH SCHOOL,61310,CO
LOWELL WHITEMAN SCHOOL,61312,CO
STRASBURG JUNIOR-SENIOR HIGH SCHOOL,61330,CO
SWINK JUNIOR-SENIOR HIGH SCHOOL,61345,CO
TELLURIDE HIGH SCHOOL,61350,CO
ACADEMY OF CHARTER SCHOOLS THE,61351,CO
PINNACLE CHARTER SCHOOL,61354,CO
VAIL MOUNTAIN SCHOOL,61384,CO
NORTH PARK HIGH SCHOOL,61405,CO
MOUNTAIN RANGE HIGH SCHOOL,61437,CO
WESTMINSTER SENIOR HIGH SCHOOL,61440,CO
FAMILY ACADEMY OF CHRISTIAN EDUCATION,61447,CO
WHEAT RIDGE SENIOR HIGH SCHOOL,61450,CO
WINDSOR HIGH SCHOOL,61470,CO
WOODLAND PARK HIGH SCHOOL,61475,CO
WRAY HIGH SCHOOL,61485,CO
YUMA HIGH SCHOOL,61505,CO
ANSONIA HIGH SCHOOL,70000,CT
BERLIN HIGH SCHOOL,70020,CT
BOLTON HIGH SCHOOL,70038,CT
BASSICK HIGH SCHOOL,70045,CT
CENTRAL MAGNET HIGH SCHOOL,70055,CT
BRISTOL EASTERN HIGH SCHOOL,70076,CT
BROOKFIELD HIGH SCHOOL,70085,CT
CHESHIRE HIGH SCHOOL,70100,CT
THE MORGAN SCHOOL,70105,CT
BACON ACADEMY,70110,CT
DANBURY HIGH SCHOOL,70120,CT
KILLINGLY HIGH SCHOOL,70135,CT
EAST HAMPTON HIGH SCHOOL,70165,CT
CONNECTICUT IB ACADEMY,70169,CT
EAST HAVEN HIGH SCHOOL,70175,CT
EAST LYME HIGH SCHOOL,70177,CT
