High School,Address, City, State, Zip
Monroe High School,365 N 5th St,Monroe, OR,97456
Mount View High School,2755 NE 27th St,Bend, OR,97701
Myrtle Point High School,717 4th St,Myrtle Point, OR,97458
Nestucca High School,34660 Parkway Dr,Cloverdale, OR,97112
New Urban High School,1901 SE Oak Grove Blvd,Milwaukie, OR,97267
Newberg High School,2400 Douglas Rd,Newberg, OR,97132
Newbridge High School,2001 NE Spaulding,Grants Pass, OR,97526
Newport High School,322 NE Eads St,Newport, OR,97365
North Bend High School,2323 Pacific St,North Bend, OR,97459
North Douglas High School,305 South Main St.,Drain, OR,97435
North Eugene High School,200 Silver Ln,Eugene, OR,97404
North Marion High School,20167 Grim Rd NE,Aurora, OR,97002
North Medford High School,1900 N Keene Way Dr,Medford, OR,97504
North Salem High School,765 14th St NE,Salem, OR,97301
North Valley High School,6741 Monument Dr,Grants Pass, OR,97526
Nyssa High School,824 Adrian Blvd,Nyssa, OR,97913
Oakland High School,521 NE Spruce St,Oakland, OR,97462
Ocean Dunes High School,4859 S Jetty Rd,Florence, OR,97439
Ontario High School,1115 W Idaho Ave,Ontario, OR,97914
Oregon City Senior High School,19761 S Beavercreek Rd,Oregon City, OR,97045
Parkrose High School,12003 NE Shaver St,Portland, OR,97220
Pendleton High School,1800 NW Carden Ave,Pendleton, OR,97801
Philomath High School,2054 Applegate St,Philomath, OR,97370
Phoenix High School,745 N Rose St,Phoenix, OR,97535
Pilot Rock High School,101 NE Cherry St.,Pilot Rock, OR,97868
Pine Eagle High School,375a N. Main Street,Halfway, OR,97834
Pleasant Hill High School,36386 Hwy 58,Pleasant Hill, OR,97455
Rainier Junior/Senior High School,28170 Old Rainier Hwy,Rainier, OR,97048
Redmond High School,675 SW Rimrock Dr,Redmond, OR,97756
Reedsport Junior-high School,2260 Longwood Drive,Reedsport, OR,97467
Regis High School,550 W Regis St,Stayton, OR,97383
Rex Putnam High School,4950 SE Roethe Rd,Milwaukie, OR,97267
Reynolds High School,1698 SW Cherry Park Rd,Troutdale, OR,97060
Riddle High School,147 S. Main Street,Riddle, OR,97469
Riverdale High School,9727 SW Terwilliger Blvd,Portland, OR,97219
Sam Barlow High School,5105 SE 302nd Ave,Gresham, OR,97080
Sandy High School,17100 Bluff Rd,Sandy, OR,97055
Santiam High School,265 SW Evergreen St,Mill City, OR,97360
Scappoose High School,33700 SE High School Way,Scappoose, OR,97056
Scio High School,38875 NW First Ave,Scio, OR,97374
Seaside High School,1901 N Holladay Dr,Seaside, OR,97138
Sheldon High School,2455 Willakenzie Rd,Eugene, OR,97401
Sherman High School,65912 High School Lp,Moro, OR,97039
Sherwood High School,16956 SW Meinecke Rd,Sherwood, OR,97140
Silverton High School,1700 W. McKinney Butte Rd,Sisters, OR,97759
Sisters High School,1700 McKenzie Hwy,Sisters, OR,97759
Siuslaw High School,2975 Oak St,Florence, OR,97439
South Albany High School,3705 Columbus St SE,Albany, OR,97322
South Eugene High School,400 E 19th Ave,Eugene, OR,97401
South Jetty High School,1250 SE 19th St,Warrenton, OR,97146
South Medford High School,815 S Oakdale Ave,Medford, OR,97501
South Salem High School,1910 Church St SE,Salem, OR,97302
South Umpqua High School,501 NW Chadwick Ln,Myrtle Creek, OR,97457
Southridge High School,9625 SW 125th Ave,Beaverton, OR,97008
Sprague High School,2373 Kuebler Blvd S,Salem, OR,97302
Springfield High School,875 7th St,Springfield, OR,97477
Springwater Trail High School,1440 SE Fleming Ave,Gresham, OR,97080
St. Helens High School,2375 Gable Rd,St Helens, OR,97051
Stayton High School,757 W Locust St,Stayton, OR,97383
Summit High School,2855 NW Clearwater Dr,Bend, OR,97701
Sunset High School,13840 NW Cornell Rd,Portland, OR,97229
Sutherlin High School,500 E Fourth St,Sutherlin, OR,97479
Sweet Home High School,1641 Long St,Sweet Home, OR,97386
Taft High School,3780 Spyglass Ridge SE,Lincoln City, OR,97367
Thomas A Edison High School,9020 SW Beaverton Hillsdale Hwy,Portland, OR,97225
Thurston High School,333 58th St,Springfield, OR,97478
Tigard High School,9000 SW Durham Rd,Tigard, OR,97224
Tillamook High School,2605 12th Street,Tillamook, OR,97141
Toledo High School,1800 NE Sturdevant Rd,Toledo, OR,97391
Tualatin High School,22300 SW Boones Ferry Rd,Tualatin, OR,97062
Umatilla High School,1400 7th Street,Umatilla, OR,97882
Union High School,540 S Main St,Union, OR,97883
Vale High School,505 Viking Dr,Union, OR,97883
Vernonia High School,299 Bridge St,Vernonia, OR,97064
Waldport High School,320 Lower Crestline Drive,Waldport, OR,97394
Wallowa High School,315 1st St,Wallowa, OR,97885
Warrenton High School,1700 SE Main,Warrenton, OR,97146
West Albany High School,1130 Queen Ave SW,Albany, OR,97321
West Linn High School,5464 W 'A' St,West Linn, OR,97068
West Salem High School,1776 Titan Way,Salem, OR,97304
Weston-mcewen High School,540 E Main St,Athena, OR,97813
Westside Christian High School,4565 Carman Drive,Lake Oswego, OR,97035
Westview High School,4200 NW 185th Ave,Portland, OR,97229
Willamette High School,1801 Echo Hollow Rd,Eugene, OR,97402
